"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"lauantai 1.1.2022 00:00";"1,34";"Ei kulutustietoja tällä ajanjaksolla.";"-0,80"
"lauantai 1.1.2022 01:00";"1,03";"Ei kulutustietoja tällä ajanjaksolla.";"-0,70"
"lauantai 1.1.2022 02:00";"1,56";"Ei kulutustietoja tällä ajanjaksolla.";"-0,30"
"lauantai 1.1.2022 03:00";"1,74";"Ei kulutustietoja tällä ajanjaksolla.";"-0,40"
"lauantai 1.1.2022 04:00";"1,37";"Ei kulutustietoja tällä ajanjaksolla.";"-1,30"
"lauantai 1.1.2022 05:00";"1,44";"Ei kulutustietoja tällä ajanjaksolla.";"-2,60"
"lauantai 1.1.2022 06:00";"1,62";"Ei kulutustietoja tällä ajanjaksolla.";"-3,40"
"lauantai 1.1.2022 07:00";"1,75";"Ei kulutustietoja tällä ajanjaksolla.";"-3,40"
"lauantai 1.1.2022 08:00";"1,63";"Ei kulutustietoja tällä ajanjaksolla.";"-3,70"
"lauantai 1.1.2022 09:00";"1,67";"Ei kulutustietoja tällä ajanjaksolla.";"-4,50"
"lauantai 1.1.2022 10:00";"3,58";"Ei kulutustietoja tällä ajanjaksolla.";"-4,80"
"lauantai 1.1.2022 11:00";"2,17";"Ei kulutustietoja tällä ajanjaksolla.";"-4,60"
"lauantai 1.1.2022 12:00";"2,67";"Ei kulutustietoja tällä ajanjaksolla.";"-4,60"
"lauantai 1.1.2022 13:00";"2,44";"Ei kulutustietoja tällä ajanjaksolla.";"-4,90"
"lauantai 1.1.2022 14:00";"2,43";"Ei kulutustietoja tällä ajanjaksolla.";"-5,30"
"lauantai 1.1.2022 15:00";"4,03";"Ei kulutustietoja tällä ajanjaksolla.";"-6,10"
"lauantai 1.1.2022 16:00";"3,77";"Ei kulutustietoja tällä ajanjaksolla.";"-7,00"
"lauantai 1.1.2022 17:00";"4,42";"Ei kulutustietoja tällä ajanjaksolla.";"-7,60"
"lauantai 1.1.2022 18:00";"3,12";"Ei kulutustietoja tällä ajanjaksolla.";"-8,00"
