"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"sunnuntai 4.9.2022 22:00";"0,27";"0,00";"8,80"
"sunnuntai 4.9.2022 23:00";"0,22";"0,00";"8,20"
"maanantai 5.9.2022 00:00";"0,21";"0,00";"7,40"
"maanantai 5.9.2022 01:00";"0,34";"0,00";"6,60"
"maanantai 5.9.2022 02:00";"0,51";"0,00";"6,40"
"maanantai 5.9.2022 03:00";"0,72";"0,00";"7,20"
"maanantai 5.9.2022 04:00";"0,72";"0,00";"7,00"
"maanantai 5.9.2022 05:00";"0,71";"0,00";"7,10"
"maanantai 5.9.2022 06:00";"0,73";"0,00";"6,90"
"maanantai 5.9.2022 07:00";"0,99";"0,00";"7,30"
"maanantai 5.9.2022 08:00";"0,76";"0,00";"8,10"
"maanantai 5.9.2022 09:00";"0,35";"0,00";"8,90"
"maanantai 5.9.2022 10:00";"0,03";"0,00";"9,70"
"maanantai 5.9.2022 11:00";"0,00";"0,16";"10,60"
"maanantai 5.9.2022 12:00";"0,04";"0,00";"11,10"
"maanantai 5.9.2022 13:00";"0,00";"1,22";"11,30"
"maanantai 5.9.2022 14:00";"0,00";"1,24";"12,00"
"maanantai 5.9.2022 15:00";"0,00";"0,87";"12,30"
"maanantai 5.9.2022 16:00";"0,00";"1,58";"12,90"
"maanantai 5.9.2022 17:00";"0,00";"0,37";"21,50"
"maanantai 5.9.2022 18:00";"0,52";"0,00";"14,00"
"maanantai 5.9.2022 19:00";"0,39";"0,00";"10,80"
"maanantai 5.9.2022 20:00";"0,74";"0,00";"8,50"
"maanantai 5.9.2022 21:00";"0,60";"0,00";"6,90"
"maanantai 5.9.2022 22:00";"0,23";"0,00";"6,00"
"maanantai 5.9.2022 23:00";"0,32";"0,00";"5,20"
"tiistai 6.9.2022 00:00";"0,58";"0,00";"4,60"
"tiistai 6.9.2022 01:00";"0,69";"0,00";"4,20"
"tiistai 6.9.2022 02:00";"0,69";"0,00";"3,80"
"tiistai 6.9.2022 03:00";"0,70";"0,00";"3,50"
"tiistai 6.9.2022 04:00";"0,69";"0,00";"4,50"
"tiistai 6.9.2022 05:00";"0,68";"0,00";"4,60"
"tiistai 6.9.2022 06:00";"0,69";"0,00";"3,80"
"tiistai 6.9.2022 07:00";"0,90";"0,00";"4,70"
"tiistai 6.9.2022 08:00";"0,37";"0,00";"7,60"
"tiistai 6.9.2022 09:00";"0,87";"0,00";"9,50"
"tiistai 6.9.2022 10:00";"0,00";"0,50";"11,60"
"tiistai 6.9.2022 11:00";"0,00";"0,32";"13,20"
"tiistai 6.9.2022 12:00";"0,00";"2,06";"14,70"
"tiistai 6.9.2022 13:00";"0,00";"1,64";"15,70"
"tiistai 6.9.2022 14:00";"0,00";"1,39";"16,60"
"tiistai 6.9.2022 15:00";"0,00";"1,49";"16,90"
"tiistai 6.9.2022 16:00";"0,00";"0,93";"16,90"
"tiistai 6.9.2022 17:00";"0,00";"0,51";"23,80"
"tiistai 6.9.2022 18:00";"0,27";"0,00";"17,80"
"tiistai 6.9.2022 19:00";"0,48";"0,00";"15,10"
"tiistai 6.9.2022 20:00";"0,72";"0,00";"13,50"
"tiistai 6.9.2022 21:00";"0,35";"0,00";"12,80"
"tiistai 6.9.2022 22:00";"0,25";"0,00";"12,10"
"tiistai 6.9.2022 23:00";"0,24";"0,00";"11,20"
"keskiviikko 7.9.2022 00:00";"0,21";"0,00";"10,10"
"keskiviikko 7.9.2022 01:00";"0,21";"0,00";"9,40"
"keskiviikko 7.9.2022 02:00";"0,21";"0,00";"8,80"
"keskiviikko 7.9.2022 03:00";"0,21";"0,00";"8,20"
"keskiviikko 7.9.2022 04:00";"0,49";"0,00";"7,90"
"keskiviikko 7.9.2022 05:00";"0,71";"0,00";"7,40"
"keskiviikko 7.9.2022 06:00";"0,71";"0,00";"7,20"
"keskiviikko 7.9.2022 07:00";"0,86";"0,00";"7,20"
"keskiviikko 7.9.2022 08:00";"0,39";"0,00";"7,70"
"keskiviikko 7.9.2022 09:00";"0,00";"0,03";"8,80"
"keskiviikko 7.9.2022 10:00";"0,17";"0,00";"9,50"
"keskiviikko 7.9.2022 11:00";"0,00";"0,93";"10,40"
"keskiviikko 7.9.2022 12:00";"0,00";"1,15";"11,10"
"keskiviikko 7.9.2022 13:00";"0,00";"1,12";"12,80"
"keskiviikko 7.9.2022 14:00";"0,00";"0,57";"13,80"
"keskiviikko 7.9.2022 15:00";"0,00";"0,87";"14,50"
"keskiviikko 7.9.2022 16:00";"0,32";"0,00";"14,10"
"keskiviikko 7.9.2022 17:00";"0,03";"0,00";"13,60"
"keskiviikko 7.9.2022 18:00";"0,05";"0,00";"13,10"
"keskiviikko 7.9.2022 19:00";"0,73";"0,00";"12,10"
"keskiviikko 7.9.2022 20:00";"0,66";"0,00";"10,90"
"keskiviikko 7.9.2022 21:00";"0,34";"0,00";"10,20"
"keskiviikko 7.9.2022 22:00";"0,27";"0,00";"9,90"
"keskiviikko 7.9.2022 23:00";"0,70";"0,00";"8,50"
"torstai 8.9.2022 00:00";"0,25";"0,00";"8,00"
"torstai 8.9.2022 01:00";"0,21";"0,00";"7,70"
"torstai 8.9.2022 02:00";"0,48";"0,00";"6,70"
"torstai 8.9.2022 03:00";"0,55";"0,00";"6,10"
"torstai 8.9.2022 04:00";"0,59";"0,00";"5,50"
"torstai 8.9.2022 05:00";"0,68";"0,00";"4,90"
"torstai 8.9.2022 06:00";"0,71";"0,00";"4,50"
"torstai 8.9.2022 07:00";"0,95";"0,00";"4,70"
"torstai 8.9.2022 08:00";"0,92";"0,00";"5,90"
"torstai 8.9.2022 09:00";"0,44";"0,00";"7,50"
"torstai 8.9.2022 10:00";"0,00";"1,10";"9,10"
"torstai 8.9.2022 11:00";"0,00";"1,43";"10,50"
"torstai 8.9.2022 12:00";"0,00";"1,61";"11,70"
"torstai 8.9.2022 13:00";"0,00";"2,07";"12,60"
"torstai 8.9.2022 14:00";"0,00";"1,84";"13,00"
"torstai 8.9.2022 15:00";"0,00";"1,33";"14,70"
"torstai 8.9.2022 16:00";"0,00";"1,17";"15,60"
"torstai 8.9.2022 17:00";"0,00";"0,21";"22,90"
"torstai 8.9.2022 18:00";"0,58";"0,00";"14,60"
"torstai 8.9.2022 19:00";"0,67";"0,00";"11,80"
"torstai 8.9.2022 20:00";"0,93";"0,00";"9,70"
"torstai 8.9.2022 21:00";"0,48";"0,00";"8,40"
"torstai 8.9.2022 22:00";"0,32";"0,00";"8,10"
"torstai 8.9.2022 23:00";"0,21";"0,00";"8,30"
"perjantai 9.9.2022 00:00";"2,35";"0,00";"8,20"
"perjantai 9.9.2022 01:00";"0,44";"0,00";"7,60"
"perjantai 9.9.2022 02:00";"0,39";"0,00";"7,10"
"perjantai 9.9.2022 03:00";"0,51";"0,00";"7,20"
"perjantai 9.9.2022 04:00";"0,69";"0,00";"6,70"
"perjantai 9.9.2022 05:00";"0,68";"0,00";"7,50"
"perjantai 9.9.2022 06:00";"0,67";"0,00";"7,70"
"perjantai 9.9.2022 07:00";"0,76";"0,00";"7,30"
"perjantai 9.9.2022 08:00";"0,28";"0,00";"8,50"
"perjantai 9.9.2022 09:00";"0,02";"0,00";"9,80"
"perjantai 9.9.2022 10:00";"0,40";"0,00";"11,50"
"perjantai 9.9.2022 11:00";"0,00";"1,65";"12,50"
"perjantai 9.9.2022 12:00";"0,00";"1,08";"14,10"
"perjantai 9.9.2022 13:00";"0,00";"1,23";"15,00"
"perjantai 9.9.2022 14:00";"0,00";"1,18";"15,70"
"perjantai 9.9.2022 15:00";"0,00";"1,18";"15,90"
"perjantai 9.9.2022 16:00";"0,00";"0,89";"15,60"
"perjantai 9.9.2022 17:00";"0,00";"0,31";"21,80"
"perjantai 9.9.2022 18:00";"0,07";"0,00";"14,40"
"perjantai 9.9.2022 19:00";"0,68";"0,00";"12,00"
"perjantai 9.9.2022 20:00";"0,78";"0,00";"9,50"
"perjantai 9.9.2022 21:00";"0,80";"0,00";"8,10"
"perjantai 9.9.2022 22:00";"0,74";"0,00";"7,30"
"perjantai 9.9.2022 23:00";"0,42";"0,00";"6,60"
"lauantai 10.9.2022 00:00";"0,65";"0,00";"6,30"
"lauantai 10.9.2022 01:00";"0,69";"0,00";"6,30"
"lauantai 10.9.2022 02:00";"0,69";"0,00";"5,90"
"lauantai 10.9.2022 03:00";"0,69";"0,00";"5,90"
"lauantai 10.9.2022 04:00";"0,69";"0,00";"5,70"
"lauantai 10.9.2022 05:00";"0,68";"0,00";"5,20"
"lauantai 10.9.2022 06:00";"0,74";"0,00";"5,10"
"lauantai 10.9.2022 07:00";"0,87";"0,00";"6,00"
"lauantai 10.9.2022 08:00";"0,69";"0,00";"7,40"
"lauantai 10.9.2022 09:00";"0,00";"0,20";"9,20"
"lauantai 10.9.2022 10:00";"0,00";"1,00";"10,60"
"lauantai 10.9.2022 11:00";"0,00";"1,15";"12,60"
"lauantai 10.9.2022 12:00";"0,00";"0,94";"13,70"
"lauantai 10.9.2022 13:00";"0,00";"1,18";"14,60"
"lauantai 10.9.2022 14:00";"0,00";"1,42";"15,50"
"lauantai 10.9.2022 15:00";"0,00";"0,82";"16,40"
"lauantai 10.9.2022 16:00";"0,00";"0,40";"16,40"
"lauantai 10.9.2022 17:00";"0,41";"0,00";"22,90"
"lauantai 10.9.2022 18:00";"0,09";"0,00";"15,40"
"lauantai 10.9.2022 19:00";"0,60";"0,00";"12,90"
"lauantai 10.9.2022 20:00";"0,48";"0,00";"11,40"
"lauantai 10.9.2022 21:00";"0,35";"0,00";"11,60"
"lauantai 10.9.2022 22:00";"0,28";"0,00";"11,10"
"lauantai 10.9.2022 23:00";"0,22";"0,00";"10,70"
"sunnuntai 11.9.2022 00:00";"0,22";"0,00";"10,40"
"sunnuntai 11.9.2022 01:00";"0,21";"0,00";"10,20"
"sunnuntai 11.9.2022 02:00";"0,21";"0,00";"10,10"
"sunnuntai 11.9.2022 03:00";"0,21";"0,00";"10,20"
"sunnuntai 11.9.2022 04:00";"0,60";"0,00";"10,40"
"sunnuntai 11.9.2022 05:00";"0,21";"0,00";"10,00"
"sunnuntai 11.9.2022 06:00";"0,20";"0,00";"9,40"
"sunnuntai 11.9.2022 07:00";"0,23";"0,00";"8,90"
"sunnuntai 11.9.2022 08:00";"0,41";"0,00";"9,80"
"sunnuntai 11.9.2022 09:00";"0,00";"0,16";"10,90"
"sunnuntai 11.9.2022 10:00";"0,00";"1,40";"12,40"
"sunnuntai 11.9.2022 11:00";"0,00";"1,51";"13,80"
