"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"perjantai 1.7.2022 00:00";"0,24";"0,00";"23,90"
"perjantai 1.7.2022 01:00";"0,24";"0,00";"23,00"
"perjantai 1.7.2022 02:00";"0,24";"0,00";"22,50"
"perjantai 1.7.2022 03:00";"0,25";"0,00";"22,20"
"perjantai 1.7.2022 04:00";"0,22";"0,00";"21,90"
"perjantai 1.7.2022 05:00";"0,11";"0,00";"22,10"
"perjantai 1.7.2022 06:00";"0,05";"0,00";"22,70"
"perjantai 1.7.2022 07:00";"0,16";"0,00";"23,90"
"perjantai 1.7.2022 08:00";"0,24";"0,00";"25,40"
"perjantai 1.7.2022 09:00";"0,00";"0,37";"26,50"
"perjantai 1.7.2022 10:00";"0,00";"0,06";"27,40"
"perjantai 1.7.2022 11:00";"0,96";"0,00";"27,90"
"perjantai 1.7.2022 12:00";"0,00";"0,81";"28,20"
"perjantai 1.7.2022 13:00";"0,00";"0,07";"27,30"
"perjantai 1.7.2022 14:00";"0,00";"0,64";"27,60"
"perjantai 1.7.2022 15:00";"0,00";"1,00";"29,50"
"perjantai 1.7.2022 16:00";"0,00";"1,21";"30,00"
"perjantai 1.7.2022 17:00";"0,00";"0,43";"29,10"
"perjantai 1.7.2022 18:00";"0,00";"0,05";"30,40"
"perjantai 1.7.2022 19:00";"0,19";"0,00";"31,20"
"perjantai 1.7.2022 20:00";"0,98";"0,00";"28,90"
"perjantai 1.7.2022 21:00";"1,10";"0,00";"26,50"
"perjantai 1.7.2022 22:00";"0,76";"0,00";"25,10"
"perjantai 1.7.2022 23:00";"0,36";"0,00";"23,90"
"lauantai 2.7.2022 00:00";"0,32";"0,00";"23,00"
"lauantai 2.7.2022 01:00";"0,31";"0,00";"22,50"
"lauantai 2.7.2022 02:00";"0,27";"0,00";"22,40"
"lauantai 2.7.2022 03:00";"0,27";"0,00";"22,40"
"lauantai 2.7.2022 04:00";"0,28";"0,00";"22,60"
"lauantai 2.7.2022 05:00";"0,28";"0,00";"22,80"
"lauantai 2.7.2022 06:00";"0,15";"0,00";"22,40"
"lauantai 2.7.2022 07:00";"0,13";"0,00";"22,60"
"lauantai 2.7.2022 08:00";"0,83";"0,00";"22,90"
"lauantai 2.7.2022 09:00";"0,71";"0,00";"22,50"
"lauantai 2.7.2022 10:00";"0,00";"1,28";"24,20"
"lauantai 2.7.2022 11:00";"0,00";"1,89";"25,80"
"lauantai 2.7.2022 12:00";"0,00";"1,42";"27,90"
"lauantai 2.7.2022 13:00";"0,00";"1,37";"28,40"
"lauantai 2.7.2022 14:00";"0,00";"0,87";"28,40"
"lauantai 2.7.2022 15:00";"0,00";"0,53";"27,70"
"lauantai 2.7.2022 16:00";"0,00";"0,48";"25,70"
"lauantai 2.7.2022 17:00";"0,12";"0,00";"25,30"
"lauantai 2.7.2022 18:00";"0,17";"0,00";"25,90"
"lauantai 2.7.2022 19:00";"0,00";"0,06";"26,20"
"lauantai 2.7.2022 20:00";"0,91";"0,00";"24,30"
"lauantai 2.7.2022 21:00";"0,61";"0,00";"23,00"
"lauantai 2.7.2022 22:00";"0,54";"0,00";"22,00"
