"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"tiistai 1.3.2022 00:00";"1,30";"Ei kulutustietoja tällä ajanjaksolla.";"-1,40"
"tiistai 1.3.2022 01:00";"1,30";"Ei kulutustietoja tällä ajanjaksolla.";"-1,70"
"tiistai 1.3.2022 02:00";"3,30";"Ei kulutustietoja tällä ajanjaksolla.";"-1,60"
"tiistai 1.3.2022 03:00";"1,26";"Ei kulutustietoja tällä ajanjaksolla.";"-1,50"
"tiistai 1.3.2022 04:00";"1,23";"Ei kulutustietoja tällä ajanjaksolla.";"-1,80"
"tiistai 1.3.2022 05:00";"3,35";"Ei kulutustietoja tällä ajanjaksolla.";"-1,80"
"tiistai 1.3.2022 06:00";"1,85";"Ei kulutustietoja tällä ajanjaksolla.";"-1,70"
"tiistai 1.3.2022 07:00";"2,87";"Ei kulutustietoja tällä ajanjaksolla.";"-1,50"
"tiistai 1.3.2022 08:00";"3,55";"Ei kulutustietoja tällä ajanjaksolla.";"-0,70"
"tiistai 1.3.2022 09:00";"2,48";"Ei kulutustietoja tällä ajanjaksolla.";"0,30"
"tiistai 1.3.2022 10:00";"1,27";"Ei kulutustietoja tällä ajanjaksolla.";"1,00"
"tiistai 1.3.2022 11:00";"0,88";"Ei kulutustietoja tällä ajanjaksolla.";"2,10"
"tiistai 1.3.2022 12:00";"1,06";"Ei kulutustietoja tällä ajanjaksolla.";"3,10"
"tiistai 1.3.2022 13:00";"1,72";"Ei kulutustietoja tällä ajanjaksolla.";"3,60"
"tiistai 1.3.2022 14:00";"1,50";"Ei kulutustietoja tällä ajanjaksolla.";"3,90"
"tiistai 1.3.2022 15:00";"0,57";"Ei kulutustietoja tällä ajanjaksolla.";"3,40"
"tiistai 1.3.2022 16:00";"0,41";"Ei kulutustietoja tällä ajanjaksolla.";"2,40"
"tiistai 1.3.2022 17:00";"0,77";"Ei kulutustietoja tällä ajanjaksolla.";"1,30"
"tiistai 1.3.2022 18:00";"1,04";"Ei kulutustietoja tällä ajanjaksolla.";"0,60"
"tiistai 1.3.2022 19:00";"2,45";"Ei kulutustietoja tällä ajanjaksolla.";"0,20"
"tiistai 1.3.2022 20:00";"1,26";"Ei kulutustietoja tällä ajanjaksolla.";"-0,40"
"tiistai 1.3.2022 21:00";"1,18";"Ei kulutustietoja tällä ajanjaksolla.";"-0,40"
"tiistai 1.3.2022 22:00";"0,86";"Ei kulutustietoja tällä ajanjaksolla.";"0,30"
"tiistai 1.3.2022 23:00";"1,02";"Ei kulutustietoja tällä ajanjaksolla.";"0,40"
"keskiviikko 2.3.2022 00:00";"1,67";"Ei kulutustietoja tällä ajanjaksolla.";"0,60"
"keskiviikko 2.3.2022 01:00";"1,08";"Ei kulutustietoja tällä ajanjaksolla.";"0,70"
"keskiviikko 2.3.2022 02:00";"1,67";"Ei kulutustietoja tällä ajanjaksolla.";"0,60"
"keskiviikko 2.3.2022 03:00";"1,06";"Ei kulutustietoja tällä ajanjaksolla.";"0,50"
"keskiviikko 2.3.2022 04:00";"1,04";"Ei kulutustietoja tällä ajanjaksolla.";"0,60"
"keskiviikko 2.3.2022 05:00";"1,49";"Ei kulutustietoja tällä ajanjaksolla.";"0,60"
"keskiviikko 2.3.2022 06:00";"2,75";"Ei kulutustietoja tällä ajanjaksolla.";"0,50"
"keskiviikko 2.3.2022 07:00";"1,57";"Ei kulutustietoja tällä ajanjaksolla.";"0,30"
"keskiviikko 2.3.2022 08:00";"3,52";"Ei kulutustietoja tällä ajanjaksolla.";"0,30"
"keskiviikko 2.3.2022 09:00";"1,01";"Ei kulutustietoja tällä ajanjaksolla.";"0,70"
"keskiviikko 2.3.2022 10:00";"1,07";"Ei kulutustietoja tällä ajanjaksolla.";"0,90"
"keskiviikko 2.3.2022 11:00";"2,75";"Ei kulutustietoja tällä ajanjaksolla.";"1,50"
"keskiviikko 2.3.2022 12:00";"1,77";"Ei kulutustietoja tällä ajanjaksolla.";"2,00"
"keskiviikko 2.3.2022 13:00";"1,55";"Ei kulutustietoja tällä ajanjaksolla.";"2,50"
"keskiviikko 2.3.2022 14:00";"1,25";"Ei kulutustietoja tällä ajanjaksolla.";"2,80"
"keskiviikko 2.3.2022 15:00";"1,66";"Ei kulutustietoja tällä ajanjaksolla.";"2,80"
"keskiviikko 2.3.2022 16:00";"1,65";"Ei kulutustietoja tällä ajanjaksolla.";"2,40"
"keskiviikko 2.3.2022 17:00";"2,55";"Ei kulutustietoja tällä ajanjaksolla.";"1,30"
"keskiviikko 2.3.2022 18:00";"1,37";"Ei kulutustietoja tällä ajanjaksolla.";"0,00"
"keskiviikko 2.3.2022 19:00";"1,35";"Ei kulutustietoja tällä ajanjaksolla.";"-0,80"
"keskiviikko 2.3.2022 20:00";"2,27";"Ei kulutustietoja tällä ajanjaksolla.";"-0,90"
"keskiviikko 2.3.2022 21:00";"1,25";"Ei kulutustietoja tällä ajanjaksolla.";"-1,10"
"keskiviikko 2.3.2022 22:00";"1,36";"Ei kulutustietoja tällä ajanjaksolla.";"-1,40"
"keskiviikko 2.3.2022 23:00";"1,15";"Ei kulutustietoja tällä ajanjaksolla.";"-1,70"
"torstai 3.3.2022 00:00";"4,04";"Ei kulutustietoja tällä ajanjaksolla.";"-1,90"
"torstai 3.3.2022 01:00";"1,50";"Ei kulutustietoja tällä ajanjaksolla.";"-2,10"
"torstai 3.3.2022 02:00";"0,93";"Ei kulutustietoja tällä ajanjaksolla.";"-2,20"
"torstai 3.3.2022 03:00";"1,31";"Ei kulutustietoja tällä ajanjaksolla.";"-2,50"
"torstai 3.3.2022 04:00";"1,22";"Ei kulutustietoja tällä ajanjaksolla.";"-2,50"
"torstai 3.3.2022 05:00";"1,28";"Ei kulutustietoja tällä ajanjaksolla.";"-2,70"
"torstai 3.3.2022 06:00";"4,17";"Ei kulutustietoja tällä ajanjaksolla.";"-2,80"
"torstai 3.3.2022 07:00";"2,60";"Ei kulutustietoja tällä ajanjaksolla.";"-2,60"
"torstai 3.3.2022 08:00";"2,67";"Ei kulutustietoja tällä ajanjaksolla.";"-1,70"
"torstai 3.3.2022 09:00";"0,96";"Ei kulutustietoja tällä ajanjaksolla.";"-0,80"
"torstai 3.3.2022 10:00";"2,69";"Ei kulutustietoja tällä ajanjaksolla.";"0,20"
"torstai 3.3.2022 11:00";"0,79";"Ei kulutustietoja tällä ajanjaksolla.";"1,10"
"torstai 3.3.2022 12:00";"0,56";"Ei kulutustietoja tällä ajanjaksolla.";"2,10"
"torstai 3.3.2022 13:00";"0,62";"Ei kulutustietoja tällä ajanjaksolla.";"3,00"
"torstai 3.3.2022 14:00";"0,83";"Ei kulutustietoja tällä ajanjaksolla.";"3,40"
"torstai 3.3.2022 15:00";"1,49";"Ei kulutustietoja tällä ajanjaksolla.";"2,90"
"torstai 3.3.2022 16:00";"1,05";"Ei kulutustietoja tällä ajanjaksolla.";"2,40"
"torstai 3.3.2022 17:00";"0,91";"Ei kulutustietoja tällä ajanjaksolla.";"1,50"
"torstai 3.3.2022 18:00";"1,30";"Ei kulutustietoja tällä ajanjaksolla.";"0,40"
"torstai 3.3.2022 19:00";"1,99";"Ei kulutustietoja tällä ajanjaksolla.";"-0,20"
"torstai 3.3.2022 20:00";"1,89";"Ei kulutustietoja tällä ajanjaksolla.";"-0,50"
"torstai 3.3.2022 21:00";"1,11";"Ei kulutustietoja tällä ajanjaksolla.";"-0,90"
"torstai 3.3.2022 22:00";"1,29";"Ei kulutustietoja tällä ajanjaksolla.";"-1,80"
"torstai 3.3.2022 23:00";"1,38";"Ei kulutustietoja tällä ajanjaksolla.";"-2,20"
"perjantai 4.3.2022 00:00";"1,35";"Ei kulutustietoja tällä ajanjaksolla.";"-2,80"
"perjantai 4.3.2022 01:00";"3,38";"Ei kulutustietoja tällä ajanjaksolla.";"-3,40"
"perjantai 4.3.2022 02:00";"1,66";"Ei kulutustietoja tällä ajanjaksolla.";"-4,40"
"perjantai 4.3.2022 03:00";"1,96";"Ei kulutustietoja tällä ajanjaksolla.";"-4,80"
"perjantai 4.3.2022 04:00";"4,22";"Ei kulutustietoja tällä ajanjaksolla.";"-4,60"
"perjantai 4.3.2022 05:00";"1,85";"Ei kulutustietoja tällä ajanjaksolla.";"-5,10"
"perjantai 4.3.2022 06:00";"3,80";"Ei kulutustietoja tällä ajanjaksolla.";"-5,40"
"perjantai 4.3.2022 07:00";"4,24";"Ei kulutustietoja tällä ajanjaksolla.";"-5,70"
"perjantai 4.3.2022 08:00";"2,68";"Ei kulutustietoja tällä ajanjaksolla.";"-5,00"
"perjantai 4.3.2022 09:00";"2,71";"Ei kulutustietoja tällä ajanjaksolla.";"-3,70"
"perjantai 4.3.2022 10:00";"3,94";"Ei kulutustietoja tällä ajanjaksolla.";"-2,20"
"perjantai 4.3.2022 11:00";"0,96";"Ei kulutustietoja tällä ajanjaksolla.";"-0,50"
"perjantai 4.3.2022 12:00";"1,41";"Ei kulutustietoja tällä ajanjaksolla.";"0,70"
"perjantai 4.3.2022 13:00";"1,25";"Ei kulutustietoja tällä ajanjaksolla.";"1,60"
"perjantai 4.3.2022 14:00";"2,88";"Ei kulutustietoja tällä ajanjaksolla.";"2,60"
"perjantai 4.3.2022 15:00";"1,26";"Ei kulutustietoja tällä ajanjaksolla.";"2,20"
"perjantai 4.3.2022 16:00";"1,28";"Ei kulutustietoja tällä ajanjaksolla.";"1,60"
"perjantai 4.3.2022 17:00";"1,82";"Ei kulutustietoja tällä ajanjaksolla.";"0,10"
"perjantai 4.3.2022 18:00";"0,95";"Ei kulutustietoja tällä ajanjaksolla.";"-1,00"
"perjantai 4.3.2022 19:00";"1,65";"Ei kulutustietoja tällä ajanjaksolla.";"-2,30"
"perjantai 4.3.2022 20:00";"4,50";"Ei kulutustietoja tällä ajanjaksolla.";"-3,50"
"perjantai 4.3.2022 21:00";"3,69";"Ei kulutustietoja tällä ajanjaksolla.";"-4,10"
"perjantai 4.3.2022 22:00";"1,54";"Ei kulutustietoja tällä ajanjaksolla.";"-4,70"
"perjantai 4.3.2022 23:00";"1,99";"Ei kulutustietoja tällä ajanjaksolla.";"-5,40"
"lauantai 5.3.2022 00:00";"1,24";"Ei kulutustietoja tällä ajanjaksolla.";"-6,10"
"lauantai 5.3.2022 01:00";"3,21";"Ei kulutustietoja tällä ajanjaksolla.";"-6,60"
"lauantai 5.3.2022 02:00";"3,04";"Ei kulutustietoja tällä ajanjaksolla.";"-6,90"
"lauantai 5.3.2022 03:00";"3,12";"Ei kulutustietoja tällä ajanjaksolla.";"-7,50"
"lauantai 5.3.2022 04:00";"3,84";"Ei kulutustietoja tällä ajanjaksolla.";"-7,90"
"lauantai 5.3.2022 05:00";"2,07";"Ei kulutustietoja tällä ajanjaksolla.";"-8,40"
"lauantai 5.3.2022 06:00";"5,50";"Ei kulutustietoja tällä ajanjaksolla.";"-9,00"
"lauantai 5.3.2022 07:00";"2,06";"Ei kulutustietoja tällä ajanjaksolla.";"-8,80"
"lauantai 5.3.2022 08:00";"6,28";"Ei kulutustietoja tällä ajanjaksolla.";"-7,70"
"lauantai 5.3.2022 09:00";"3,68";"Ei kulutustietoja tällä ajanjaksolla.";"-4,00"
"lauantai 5.3.2022 10:00";"2,06";"Ei kulutustietoja tällä ajanjaksolla.";"-1,80"
"lauantai 5.3.2022 11:00";"1,20";"Ei kulutustietoja tällä ajanjaksolla.";"-0,20"
"lauantai 5.3.2022 12:00";"1,15";"Ei kulutustietoja tällä ajanjaksolla.";"0,90"
"lauantai 5.3.2022 13:00";"1,02";"Ei kulutustietoja tällä ajanjaksolla.";"1,40"
"lauantai 5.3.2022 14:00";"3,36";"Ei kulutustietoja tällä ajanjaksolla.";"2,20"
"lauantai 5.3.2022 15:00";"1,46";"Ei kulutustietoja tällä ajanjaksolla.";"1,80"
"lauantai 5.3.2022 16:00";"0,72";"Ei kulutustietoja tällä ajanjaksolla.";"1,20"
"lauantai 5.3.2022 17:00";"1,05";"Ei kulutustietoja tällä ajanjaksolla.";"-0,10"
"lauantai 5.3.2022 18:00";"1,50";"Ei kulutustietoja tällä ajanjaksolla.";"-0,90"
"lauantai 5.3.2022 19:00";"2,72";"Ei kulutustietoja tällä ajanjaksolla.";"-2,20"
"lauantai 5.3.2022 20:00";"2,05";"Ei kulutustietoja tällä ajanjaksolla.";"-2,40"
"lauantai 5.3.2022 21:00";"1,08";"Ei kulutustietoja tällä ajanjaksolla.";"-2,50"
"lauantai 5.3.2022 22:00";"1,36";"Ei kulutustietoja tällä ajanjaksolla.";"-3,00"
"lauantai 5.3.2022 23:00";"1,27";"Ei kulutustietoja tällä ajanjaksolla.";"-3,30"
"sunnuntai 6.3.2022 00:00";"1,99";"Ei kulutustietoja tällä ajanjaksolla.";"-3,30"
"sunnuntai 6.3.2022 01:00";"2,46";"Ei kulutustietoja tällä ajanjaksolla.";"-3,20"
"sunnuntai 6.3.2022 02:00";"1,63";"Ei kulutustietoja tällä ajanjaksolla.";"-3,60"
"sunnuntai 6.3.2022 03:00";"1,58";"Ei kulutustietoja tällä ajanjaksolla.";"-3,50"
"sunnuntai 6.3.2022 04:00";"2,91";"Ei kulutustietoja tällä ajanjaksolla.";"-3,10"
"sunnuntai 6.3.2022 05:00";"2,39";"Ei kulutustietoja tällä ajanjaksolla.";"-2,90"
"sunnuntai 6.3.2022 06:00";"1,47";"Ei kulutustietoja tällä ajanjaksolla.";"-3,40"
"sunnuntai 6.3.2022 07:00";"1,89";"Ei kulutustietoja tällä ajanjaksolla.";"-3,80"
"sunnuntai 6.3.2022 08:00";"1,46";"Ei kulutustietoja tällä ajanjaksolla.";"-2,80"
"sunnuntai 6.3.2022 09:00";"2,63";"Ei kulutustietoja tällä ajanjaksolla.";"-1,20"
"sunnuntai 6.3.2022 10:00";"2,05";"Ei kulutustietoja tällä ajanjaksolla.";"0,20"
"sunnuntai 6.3.2022 11:00";"1,58";"Ei kulutustietoja tällä ajanjaksolla.";"1,10"
"sunnuntai 6.3.2022 12:00";"0,83";"Ei kulutustietoja tällä ajanjaksolla.";"2,10"
"sunnuntai 6.3.2022 13:00";"0,57";"Ei kulutustietoja tällä ajanjaksolla.";"3,20"
"sunnuntai 6.3.2022 14:00";"0,85";"Ei kulutustietoja tällä ajanjaksolla.";"3,20"
"sunnuntai 6.3.2022 15:00";"1,07";"Ei kulutustietoja tällä ajanjaksolla.";"3,20"
"sunnuntai 6.3.2022 16:00";"1,99";"Ei kulutustietoja tällä ajanjaksolla.";"2,50"
"sunnuntai 6.3.2022 17:00";"5,91";"Ei kulutustietoja tällä ajanjaksolla.";"1,60"
"sunnuntai 6.3.2022 18:00";"5,34";"Ei kulutustietoja tällä ajanjaksolla.";"0,90"
"sunnuntai 6.3.2022 19:00";"4,49";"Ei kulutustietoja tällä ajanjaksolla.";"0,80"
"sunnuntai 6.3.2022 20:00";"1,47";"Ei kulutustietoja tällä ajanjaksolla.";"0,50"
"sunnuntai 6.3.2022 21:00";"0,77";"Ei kulutustietoja tällä ajanjaksolla.";"0,60"
"sunnuntai 6.3.2022 22:00";"0,93";"Ei kulutustietoja tällä ajanjaksolla.";"0,50"
"sunnuntai 6.3.2022 23:00";"1,12";"Ei kulutustietoja tällä ajanjaksolla.";"0,70"
"maanantai 7.3.2022 00:00";"1,14";"Ei kulutustietoja tällä ajanjaksolla.";"0,10"
"maanantai 7.3.2022 01:00";"1,15";"Ei kulutustietoja tällä ajanjaksolla.";"0,60"
"maanantai 7.3.2022 02:00";"1,15";"Ei kulutustietoja tällä ajanjaksolla.";"0,30"
