"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"perjantai 3.6.2022 13:00";"0,00";"2,20";"17,70"
"perjantai 3.6.2022 14:00";"0,00";"2,63";"17,70"
"perjantai 3.6.2022 15:00";"0,00";"2,07";"18,00"
"perjantai 3.6.2022 16:00";"0,00";"1,62";"21,30"
"perjantai 3.6.2022 17:00";"0,00";"0,58";"24,10"
"perjantai 3.6.2022 18:00";"0,00";"0,31";"24,10"
"perjantai 3.6.2022 19:00";"0,10";"0,00";"22,20"
"perjantai 3.6.2022 20:00";"0,85";"0,00";"18,00"
"perjantai 3.6.2022 21:00";"0,36";"0,00";"14,10"
"perjantai 3.6.2022 22:00";"0,25";"0,00";"13,10"
"perjantai 3.6.2022 23:00";"0,23";"0,00";"12,80"
"lauantai 4.6.2022 00:00";"0,22";"0,00";"12,60"
"lauantai 4.6.2022 01:00";"0,21";"0,00";"12,40"
"lauantai 4.6.2022 02:00";"0,21";"0,00";"12,10"
"lauantai 4.6.2022 03:00";"0,21";"0,00";"11,70"
"lauantai 4.6.2022 04:00";"0,57";"0,00";"11,50"
"lauantai 4.6.2022 05:00";"0,13";"0,00";"11,80"
"lauantai 4.6.2022 06:00";"0,00";"0,06";"12,00"
"lauantai 4.6.2022 07:00";"0,01";"0,00";"12,80"
"lauantai 4.6.2022 08:00";"0,33";"0,00";"13,50"
"lauantai 4.6.2022 09:00";"0,00";"0,86";"14,60"
"lauantai 4.6.2022 10:00";"0,00";"2,32";"15,20"
"lauantai 4.6.2022 11:00";"0,00";"2,66";"16,70"
"lauantai 4.6.2022 12:00";"0,00";"1,99";"18,40"
"lauantai 4.6.2022 13:00";"0,00";"2,30";"18,10"
"lauantai 4.6.2022 14:00";"0,00";"2,76";"19,30"
"lauantai 4.6.2022 15:00";"0,00";"2,41";"19,60"
"lauantai 4.6.2022 16:00";"0,00";"2,16";"22,10"
"lauantai 4.6.2022 17:00";"0,00";"1,33";"28,80"
"lauantai 4.6.2022 18:00";"0,47";"0,00";"30,40"
"lauantai 4.6.2022 19:00";"0,20";"0,00";"27,10"
"lauantai 4.6.2022 20:00";"0,24";"0,00";"23,00"
"lauantai 4.6.2022 21:00";"0,81";"0,00";"17,40"
"lauantai 4.6.2022 22:00";"0,36";"0,00";"15,40"
"lauantai 4.6.2022 23:00";"0,24";"0,00";"14,10"
"sunnuntai 5.6.2022 00:00";"0,21";"0,00";"13,60"
"sunnuntai 5.6.2022 01:00";"0,22";"0,00";"13,00"
"sunnuntai 5.6.2022 02:00";"0,22";"0,00";"12,60"
"sunnuntai 5.6.2022 03:00";"0,22";"0,00";"12,50"
"sunnuntai 5.6.2022 04:00";"0,21";"0,00";"12,20"
"sunnuntai 5.6.2022 05:00";"0,29";"0,00";"12,20"
"sunnuntai 5.6.2022 06:00";"0,57";"0,00";"12,70"
"sunnuntai 5.6.2022 07:00";"0,33";"0,00";"14,20"
"sunnuntai 5.6.2022 08:00";"0,00";"0,15";"14,80"
"sunnuntai 5.6.2022 09:00";"0,00";"0,38";"16,70"
"sunnuntai 5.6.2022 10:00";"0,00";"0,48";"17,70"
"sunnuntai 5.6.2022 11:00";"0,00";"0,33";"19,50"
"sunnuntai 5.6.2022 12:00";"0,00";"2,01";"20,30"
"sunnuntai 5.6.2022 13:00";"0,00";"2,00";"19,90"
"sunnuntai 5.6.2022 14:00";"0,00";"1,62";"21,30"
"sunnuntai 5.6.2022 15:00";"0,00";"2,42";"21,80"
"sunnuntai 5.6.2022 16:00";"0,00";"0,96";"22,60"
"sunnuntai 5.6.2022 17:00";"4,89";"0,00";"20,20"
"sunnuntai 5.6.2022 18:00";"2,52";"0,00";"20,90"
"sunnuntai 5.6.2022 19:00";"0,77";"0,00";"23,90"
"sunnuntai 5.6.2022 20:00";"0,14";"0,00";"18,80"
"sunnuntai 5.6.2022 21:00";"0,28";"0,00";"16,20"
"sunnuntai 5.6.2022 22:00";"0,31";"0,00";"14,70"
"sunnuntai 5.6.2022 23:00";"0,24";"0,00";"13,00"
"maanantai 6.6.2022 00:00";"0,36";"0,00";"11,70"
"maanantai 6.6.2022 01:00";"0,40";"0,00";"11,10"
"maanantai 6.6.2022 02:00";"0,21";"0,00";"9,70"
"maanantai 6.6.2022 03:00";"0,21";"0,00";"8,90"
"maanantai 6.6.2022 04:00";"0,21";"0,00";"8,20"
"maanantai 6.6.2022 05:00";"0,44";"0,00";"8,80"
"maanantai 6.6.2022 06:00";"0,30";"0,00";"10,40"
"maanantai 6.6.2022 07:00";"0,12";"0,00";"11,60"
"maanantai 6.6.2022 08:00";"0,00";"0,20";"12,90"
"maanantai 6.6.2022 09:00";"0,00";"0,88";"14,10"
"maanantai 6.6.2022 10:00";"0,00";"1,86";"15,00"
"maanantai 6.6.2022 11:00";"0,00";"2,33";"15,90"
"maanantai 6.6.2022 12:00";"0,00";"2,47";"17,10"
"maanantai 6.6.2022 13:00";"0,00";"2,58";"18,10"
"maanantai 6.6.2022 14:00";"0,00";"2,56";"19,00"
"maanantai 6.6.2022 15:00";"0,00";"1,98";"20,10"
"maanantai 6.6.2022 16:00";"0,00";"1,98";"24,10"
"maanantai 6.6.2022 17:00";"0,00";"1,60";"30,20"
"maanantai 6.6.2022 18:00";"0,00";"0,23";"30,50"
"maanantai 6.6.2022 19:00";"0,42";"0,00";"30,80"
"maanantai 6.6.2022 20:00";"0,30";"0,00";"25,50"
"maanantai 6.6.2022 21:00";"0,37";"0,00";"18,50"
"maanantai 6.6.2022 22:00";"0,41";"0,00";"16,10"
"maanantai 6.6.2022 23:00";"0,60";"0,00";"14,20"
"tiistai 7.6.2022 00:00";"0,27";"0,00";"13,10"
"tiistai 7.6.2022 01:00";"0,27";"0,00";"12,20"
"tiistai 7.6.2022 02:00";"0,29";"0,00";"11,10"
"tiistai 7.6.2022 03:00";"0,25";"0,00";"10,20"
"tiistai 7.6.2022 04:00";"0,24";"0,00";"9,30"
"tiistai 7.6.2022 05:00";"0,13";"0,00";"10,00"
"tiistai 7.6.2022 06:00";"0,23";"0,00";"11,20"
"tiistai 7.6.2022 07:00";"0,00";"0,16";"13,40"
"tiistai 7.6.2022 08:00";"0,00";"0,19";"15,10"
"tiistai 7.6.2022 09:00";"0,00";"0,52";"16,50"
"tiistai 7.6.2022 10:00";"0,00";"1,42";"17,60"
"tiistai 7.6.2022 11:00";"0,00";"2,09";"18,80"
"tiistai 7.6.2022 12:00";"0,00";"2,63";"20,10"
"tiistai 7.6.2022 13:00";"0,00";"2,35";"21,50"
"tiistai 7.6.2022 14:00";"0,00";"2,62";"22,70"
"tiistai 7.6.2022 15:00";"0,00";"2,45";"23,70"
"tiistai 7.6.2022 16:00";"0,00";"1,43";"27,70"
"tiistai 7.6.2022 17:00";"0,00";"0,78";"31,90"
"tiistai 7.6.2022 18:00";"0,00";"0,56";"31,10"
"tiistai 7.6.2022 19:00";"0,09";"0,00";"25,20"
"tiistai 7.6.2022 20:00";"0,17";"0,00";"24,70"
"tiistai 7.6.2022 21:00";"0,39";"0,00";"20,70"
"tiistai 7.6.2022 22:00";"0,71";"0,00";"18,00"
"tiistai 7.6.2022 23:00";"0,28";"0,00";"16,80"
"keskiviikko 8.6.2022 00:00";"0,22";"0,00";"16,50"
"keskiviikko 8.6.2022 01:00";"0,21";"0,00";"16,10"
"keskiviikko 8.6.2022 02:00";"0,21";"0,00";"15,90"
"keskiviikko 8.6.2022 03:00";"0,22";"0,00";"15,70"
"keskiviikko 8.6.2022 04:00";"0,21";"0,00";"14,90"
"keskiviikko 8.6.2022 05:00";"0,20";"0,00";"14,30"
"keskiviikko 8.6.2022 06:00";"0,20";"0,00";"13,40"
"keskiviikko 8.6.2022 07:00";"0,62";"0,00";"13,70"
"keskiviikko 8.6.2022 08:00";"0,25";"0,00";"14,20"
"keskiviikko 8.6.2022 09:00";"0,07";"0,00";"15,80"
"keskiviikko 8.6.2022 10:00";"0,00";"0,72";"16,80"
"keskiviikko 8.6.2022 11:00";"0,23";"0,00";"17,40"
"keskiviikko 8.6.2022 12:00";"0,00";"0,93";"17,70"
"keskiviikko 8.6.2022 13:00";"0,00";"2,42";"19,80"
"keskiviikko 8.6.2022 14:00";"0,00";"2,63";"20,30"
"keskiviikko 8.6.2022 15:00";"0,00";"2,09";"21,30"
"keskiviikko 8.6.2022 16:00";"0,00";"0,93";"22,80"
"keskiviikko 8.6.2022 17:00";"0,52";"0,00";"27,20"
"keskiviikko 8.6.2022 18:00";"0,00";"0,41";"24,10"
"keskiviikko 8.6.2022 19:00";"0,60";"0,00";"22,20"
"keskiviikko 8.6.2022 20:00";"0,60";"0,00";"20,50"
"keskiviikko 8.6.2022 21:00";"0,36";"0,00";"18,20"
"keskiviikko 8.6.2022 22:00";"0,29";"0,00";"16,60"
"keskiviikko 8.6.2022 23:00";"0,25";"0,00";"15,30"
"torstai 9.6.2022 00:00";"0,22";"0,00";"14,80"
"torstai 9.6.2022 01:00";"0,23";"0,00";"14,50"
"torstai 9.6.2022 02:00";"0,22";"0,00";"14,10"
"torstai 9.6.2022 03:00";"0,22";"0,00";"13,40"
"torstai 9.6.2022 04:00";"0,57";"0,00";"13,40"
"torstai 9.6.2022 05:00";"0,15";"0,00";"13,40"
"torstai 9.6.2022 06:00";"0,05";"0,00";"13,70"
"torstai 9.6.2022 07:00";"0,00";"0,00";"14,30"
"torstai 9.6.2022 08:00";"0,16";"0,00";"15,10"
"torstai 9.6.2022 09:00";"0,00";"0,97";"16,10"
"torstai 9.6.2022 10:00";"0,00";"1,94";"16,60"
"torstai 9.6.2022 11:00";"0,00";"1,68";"18,40"
"torstai 9.6.2022 12:00";"0,00";"1,63";"19,50"
"torstai 9.6.2022 13:00";"0,00";"1,18";"19,90"
"torstai 9.6.2022 14:00";"0,00";"1,42";"19,90"
"torstai 9.6.2022 15:00";"0,00";"2,24";"21,20"
"torstai 9.6.2022 16:00";"0,00";"1,86";"24,60"
"torstai 9.6.2022 17:00";"0,00";"0,89";"26,50"
"torstai 9.6.2022 18:00";"0,00";"0,05";"27,60"
"torstai 9.6.2022 19:00";"0,49";"0,00";"27,40"
"torstai 9.6.2022 20:00";"0,90";"0,00";"25,80"
"torstai 9.6.2022 21:00";"0,68";"0,00";"19,70"
"torstai 9.6.2022 22:00";"0,27";"0,00";"17,60"
"torstai 9.6.2022 23:00";"0,22";"0,00";"15,90"
"perjantai 10.6.2022 00:00";"0,21";"0,00";"14,80"
"perjantai 10.6.2022 01:00";"0,27";"0,00";"14,20"
"perjantai 10.6.2022 02:00";"0,24";"0,00";"13,40"
"perjantai 10.6.2022 03:00";"0,56";"0,00";"12,80"
"perjantai 10.6.2022 04:00";"0,22";"0,00";"12,30"
"perjantai 10.6.2022 05:00";"0,11";"0,00";"12,50"
"perjantai 10.6.2022 06:00";"0,00";"0,09";"13,20"
"perjantai 10.6.2022 07:00";"0,00";"0,21";"14,70"
"perjantai 10.6.2022 08:00";"0,00";"0,13";"15,30"
"perjantai 10.6.2022 09:00";"0,00";"1,00";"16,80"
"perjantai 10.6.2022 10:00";"0,00";"0,38";"17,60"
"perjantai 10.6.2022 11:00";"0,00";"1,55";"19,00"
"perjantai 10.6.2022 12:00";"0,00";"2,15";"20,40"
"perjantai 10.6.2022 13:00";"0,00";"2,03";"22,00"
"perjantai 10.6.2022 14:00";"0,00";"1,65";"22,40"
"perjantai 10.6.2022 15:00";"0,00";"2,10";"24,10"
"perjantai 10.6.2022 16:00";"0,00";"1,33";"25,40"
"perjantai 10.6.2022 17:00";"0,00";"0,74";"29,70"
"perjantai 10.6.2022 18:00";"0,00";"0,08";"24,40"
"perjantai 10.6.2022 19:00";"0,00";"0,03";"21,70"
"perjantai 10.6.2022 20:00";"0,22";"0,00";"21,00"
"perjantai 10.6.2022 21:00";"0,70";"0,00";"19,90"
"perjantai 10.6.2022 22:00";"0,75";"0,00";"18,70"
"perjantai 10.6.2022 23:00";"0,25";"0,00";"17,40"
"lauantai 11.6.2022 00:00";"0,23";"0,00";"16,70"
"lauantai 11.6.2022 01:00";"0,23";"0,00";"16,40"
"lauantai 11.6.2022 02:00";"0,23";"0,00";"16,20"
"lauantai 11.6.2022 03:00";"0,32";"0,00";"15,30"
"lauantai 11.6.2022 04:00";"0,44";"0,00";"14,80"
"lauantai 11.6.2022 05:00";"0,10";"0,00";"14,90"
"lauantai 11.6.2022 06:00";"0,15";"0,00";"15,60"
"lauantai 11.6.2022 07:00";"0,03";"0,00";"16,30"
"lauantai 11.6.2022 08:00";"0,00";"0,08";"16,90"
"lauantai 11.6.2022 09:00";"0,00";"0,07";"18,20"
"lauantai 11.6.2022 10:00";"0,00";"0,40";"19,30"
"lauantai 11.6.2022 11:00";"0,00";"1,25";"20,70"
"lauantai 11.6.2022 12:00";"0,00";"2,71";"21,30"
"lauantai 11.6.2022 13:00";"0,00";"2,87";"21,00"
"lauantai 11.6.2022 14:00";"0,00";"2,81";"21,70"
"lauantai 11.6.2022 15:00";"0,00";"2,56";"22,30"
"lauantai 11.6.2022 16:00";"0,00";"1,51";"25,80"
"lauantai 11.6.2022 17:00";"0,00";"0,84";"32,30"
"lauantai 11.6.2022 18:00";"0,00";"0,28";"33,80"
"lauantai 11.6.2022 19:00";"0,62";"0,00";"30,80"
"lauantai 11.6.2022 20:00";"6,19";"0,00";"26,20"
"lauantai 11.6.2022 21:00";"3,61";"0,00";"19,50"
"lauantai 11.6.2022 22:00";"1,95";"0,00";"18,00"
"lauantai 11.6.2022 23:00";"1,04";"0,00";"17,30"
"sunnuntai 12.6.2022 00:00";"0,55";"0,00";"16,80"
"sunnuntai 12.6.2022 01:00";"0,27";"0,00";"16,20"
"sunnuntai 12.6.2022 02:00";"0,21";"0,00";"15,80"
"sunnuntai 12.6.2022 03:00";"0,23";"0,00";"15,60"
"sunnuntai 12.6.2022 04:00";"0,22";"0,00";"15,30"
"sunnuntai 12.6.2022 05:00";"0,12";"0,00";"15,10"
"sunnuntai 12.6.2022 06:00";"0,00";"0,08";"15,80"
"sunnuntai 12.6.2022 07:00";"0,00";"0,27";"17,00"
"sunnuntai 12.6.2022 08:00";"0,00";"0,07";"18,00"
"sunnuntai 12.6.2022 09:00";"0,00";"0,80";"18,70"
"sunnuntai 12.6.2022 10:00";"0,00";"1,18";"19,90"
"sunnuntai 12.6.2022 11:00";"0,00";"0,96";"20,20"
"sunnuntai 12.6.2022 12:00";"0,00";"2,27";"20,40"
"sunnuntai 12.6.2022 13:00";"0,00";"1,38";"20,70"
"sunnuntai 12.6.2022 14:00";"0,00";"2,03";"21,00"
"sunnuntai 12.6.2022 15:00";"0,00";"2,55";"21,20"
"sunnuntai 12.6.2022 16:00";"0,00";"1,53";"24,50"
"sunnuntai 12.6.2022 17:00";"0,28";"0,00";"24,50"
"sunnuntai 12.6.2022 18:00";"0,12";"0,00";"26,40"
"sunnuntai 12.6.2022 19:00";"0,36";"0,00";"26,00"
"sunnuntai 12.6.2022 20:00";"0,69";"0,00";"23,90"
"sunnuntai 12.6.2022 21:00";"0,28";"0,00";"18,80"
"sunnuntai 12.6.2022 22:00";"0,32";"0,00";"17,30"
"sunnuntai 12.6.2022 23:00";"0,24";"0,00";"15,90"
"maanantai 13.6.2022 00:00";"1,59";"0,00";"15,10"
"maanantai 13.6.2022 01:00";"0,39";"0,00";"14,40"
"maanantai 13.6.2022 02:00";"0,22";"0,00";"13,90"
"maanantai 13.6.2022 03:00";"0,21";"0,00";"13,60"
"maanantai 13.6.2022 04:00";"0,20";"0,00";"13,60"
"maanantai 13.6.2022 05:00";"0,12";"0,00";"13,70"
"maanantai 13.6.2022 06:00";"0,06";"0,00";"14,70"
"maanantai 13.6.2022 07:00";"0,00";"0,34";"15,40"
"maanantai 13.6.2022 08:00";"0,00";"0,06";"16,20"
"maanantai 13.6.2022 09:00";"0,00";"0,83";"16,50"
"maanantai 13.6.2022 10:00";"0,00";"0,91";"17,00"
"maanantai 13.6.2022 11:00";"0,00";"0,56";"17,80"
"maanantai 13.6.2022 12:00";"0,00";"1,68";"18,40"
"maanantai 13.6.2022 13:00";"0,00";"1,95";"19,40"
"maanantai 13.6.2022 14:00";"0,00";"1,64";"19,80"
"maanantai 13.6.2022 15:00";"0,00";"0,98";"20,40"
"maanantai 13.6.2022 16:00";"0,00";"0,58";"22,40"
"maanantai 13.6.2022 17:00";"0,00";"0,76";"27,60"
"maanantai 13.6.2022 18:00";"0,01";"0,00";"26,50"
"maanantai 13.6.2022 19:00";"0,46";"0,00";"24,30"
"maanantai 13.6.2022 20:00";"0,10";"0,00";"19,90"
"maanantai 13.6.2022 21:00";"0,58";"0,00";"17,30"
"maanantai 13.6.2022 22:00";"0,37";"0,00";"16,00"
"maanantai 13.6.2022 23:00";"0,26";"0,00";"15,00"
"tiistai 14.6.2022 00:00";"0,22";"0,00";"14,10"
"tiistai 14.6.2022 01:00";"0,22";"0,00";"13,40"
"tiistai 14.6.2022 02:00";"0,22";"0,00";"12,80"
"tiistai 14.6.2022 03:00";"0,21";"0,00";"12,70"
"tiistai 14.6.2022 04:00";"0,19";"0,00";"12,40"
"tiistai 14.6.2022 05:00";"0,06";"0,00";"12,70"
"tiistai 14.6.2022 06:00";"0,11";"0,00";"13,60"
"tiistai 14.6.2022 07:00";"0,23";"0,00";"14,70"
"tiistai 14.6.2022 08:00";"0,00";"0,50";"15,40"
"tiistai 14.6.2022 09:00";"0,00";"0,29";"16,00"
"tiistai 14.6.2022 10:00";"0,00";"1,46";"17,70"
"tiistai 14.6.2022 11:00";"0,00";"0,99";"18,70"
"tiistai 14.6.2022 12:00";"0,00";"2,26";"19,80"
"tiistai 14.6.2022 13:00";"0,00";"2,18";"20,20"
"tiistai 14.6.2022 14:00";"0,00";"0,74";"20,60"
"tiistai 14.6.2022 15:00";"0,00";"2,04";"20,80"
"tiistai 14.6.2022 16:00";"0,00";"1,41";"22,10"
"tiistai 14.6.2022 17:00";"0,00";"0,64";"28,60"
"tiistai 14.6.2022 18:00";"0,15";"0,00";"21,30"
"tiistai 14.6.2022 19:00";"0,53";"0,00";"29,70"
"tiistai 14.6.2022 20:00";"0,92";"0,00";"25,20"
"tiistai 14.6.2022 21:00";"0,94";"0,00";"19,40"
"tiistai 14.6.2022 22:00";"0,26";"0,00";"17,30"
"tiistai 14.6.2022 23:00";"0,24";"0,00";"15,90"
"keskiviikko 15.6.2022 00:00";"0,22";"0,00";"14,80"
"keskiviikko 15.6.2022 01:00";"0,22";"0,00";"13,90"
"keskiviikko 15.6.2022 02:00";"0,23";"0,00";"13,20"
"keskiviikko 15.6.2022 03:00";"0,20";"0,00";"12,90"
"keskiviikko 15.6.2022 04:00";"0,29";"0,00";"12,60"
"keskiviikko 15.6.2022 05:00";"0,38";"0,00";"13,00"
"keskiviikko 15.6.2022 06:00";"0,12";"0,00";"13,70"
"keskiviikko 15.6.2022 07:00";"0,00";"0,45";"14,50"
"keskiviikko 15.6.2022 08:00";"0,00";"0,43";"15,60"
"keskiviikko 15.6.2022 09:00";"0,00";"1,59";"16,70"
"keskiviikko 15.6.2022 10:00";"0,00";"2,27";"17,90"
"keskiviikko 15.6.2022 11:00";"0,00";"2,60";"18,60"
"keskiviikko 15.6.2022 12:00";"0,00";"2,38";"19,30"
"keskiviikko 15.6.2022 13:00";"0,00";"2,82";"19,40"
"keskiviikko 15.6.2022 14:00";"0,00";"2,50";"19,80"
"keskiviikko 15.6.2022 15:00";"0,00";"2,26";"20,10"
"keskiviikko 15.6.2022 16:00";"0,00";"1,95";"22,90"
"keskiviikko 15.6.2022 17:00";"0,02";"0,00";"28,70"
"keskiviikko 15.6.2022 18:00";"0,00";"0,43";"29,40"
"keskiviikko 15.6.2022 19:00";"0,62";"0,00";"27,90"
"keskiviikko 15.6.2022 20:00";"0,83";"0,00";"24,50"
"keskiviikko 15.6.2022 21:00";"0,27";"0,00";"18,30"
"keskiviikko 15.6.2022 22:00";"0,48";"0,00";"17,00"
"keskiviikko 15.6.2022 23:00";"0,27";"0,00";"15,60"
"torstai 16.6.2022 00:00";"0,22";"0,00";"14,10"
"torstai 16.6.2022 01:00";"0,22";"0,00";"13,30"
"torstai 16.6.2022 02:00";"0,23";"0,00";"12,70"
"torstai 16.6.2022 03:00";"0,21";"0,00";"12,10"
"torstai 16.6.2022 04:00";"0,21";"0,00";"11,90"
"torstai 16.6.2022 05:00";"0,50";"0,00";"13,10"
"torstai 16.6.2022 06:00";"0,05";"0,00";"14,50"
"torstai 16.6.2022 07:00";"0,00";"0,45";"15,20"
"torstai 16.6.2022 08:00";"0,00";"0,62";"15,70"
"torstai 16.6.2022 09:00";"0,00";"0,30";"16,70"
"torstai 16.6.2022 10:00";"0,00";"0,81";"18,10"
"torstai 16.6.2022 11:00";"0,00";"0,53";"19,50"
"torstai 16.6.2022 12:00";"0,00";"1,09";"20,20"
"torstai 16.6.2022 13:00";"0,00";"2,43";"20,70"
"torstai 16.6.2022 14:00";"0,00";"2,83";"21,10"
"torstai 16.6.2022 15:00";"0,00";"2,22";"20,60"
"torstai 16.6.2022 16:00";"0,00";"2,20";"23,40"
"torstai 16.6.2022 17:00";"0,00";"1,53";"28,80"
"torstai 16.6.2022 18:00";"0,00";"0,46";"30,70"
"torstai 16.6.2022 19:00";"0,75";"0,00";"29,20"
"torstai 16.6.2022 20:00";"0,68";"0,00";"25,50"
"torstai 16.6.2022 21:00";"0,52";"0,00";"19,40"
"torstai 16.6.2022 22:00";"0,44";"0,00";"17,60"
"torstai 16.6.2022 23:00";"0,37";"0,00";"15,70"
"perjantai 17.6.2022 00:00";"0,55";"0,00";"14,20"
"perjantai 17.6.2022 01:00";"0,23";"0,00";"13,30"
"perjantai 17.6.2022 02:00";"0,23";"0,00";"12,40"
"perjantai 17.6.2022 03:00";"0,21";"0,00";"12,00"
"perjantai 17.6.2022 04:00";"0,21";"0,00";"11,70"
"perjantai 17.6.2022 05:00";"0,14";"0,00";"12,40"
"perjantai 17.6.2022 06:00";"0,09";"0,00";"14,40"
"perjantai 17.6.2022 07:00";"0,00";"0,22";"15,70"
"perjantai 17.6.2022 08:00";"0,00";"0,34";"16,20"
"perjantai 17.6.2022 09:00";"0,00";"0,71";"17,20"
"perjantai 17.6.2022 10:00";"0,00";"0,78";"18,40"
"perjantai 17.6.2022 11:00";"0,00";"2,02";"19,60"
"perjantai 17.6.2022 12:00";"0,00";"2,46";"21,10"
"perjantai 17.6.2022 13:00";"0,00";"1,73";"22,10"
"perjantai 17.6.2022 14:00";"0,00";"1,74";"22,60"
"perjantai 17.6.2022 15:00";"0,00";"1,82";"23,20"
"perjantai 17.6.2022 16:00";"0,00";"1,12";"24,60"
"perjantai 17.6.2022 17:00";"0,00";"1,10";"28,70"
"perjantai 17.6.2022 18:00";"0,00";"0,69";"35,10"
"perjantai 17.6.2022 19:00";"0,31";"0,00";"33,70"
"perjantai 17.6.2022 20:00";"0,97";"0,00";"30,20"
"perjantai 17.6.2022 21:00";"0,94";"0,00";"21,80"
"perjantai 17.6.2022 22:00";"0,64";"0,00";"19,00"
"perjantai 17.6.2022 23:00";"0,44";"0,00";"17,30"
"lauantai 18.6.2022 00:00";"0,25";"0,00";"16,00"
"lauantai 18.6.2022 01:00";"0,23";"0,00";"15,70"
"lauantai 18.6.2022 02:00";"0,23";"0,00";"15,40"
"lauantai 18.6.2022 03:00";"0,23";"0,00";"15,00"
"lauantai 18.6.2022 04:00";"0,24";"0,00";"14,80"
"lauantai 18.6.2022 05:00";"0,54";"0,00";"15,20"
"lauantai 18.6.2022 06:00";"0,20";"0,00";"15,70"
