"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"keskiviikko 1.6.2022 00:00";"0,32";"0,00";"10,70"
"keskiviikko 1.6.2022 01:00";"0,35";"0,00";"10,60"
"keskiviikko 1.6.2022 02:00";"0,34";"0,00";"10,50"
"keskiviikko 1.6.2022 03:00";"0,34";"0,00";"10,30"
"keskiviikko 1.6.2022 04:00";"0,34";"0,00";"10,20"
"keskiviikko 1.6.2022 05:00";"0,34";"0,00";"10,00"
"keskiviikko 1.6.2022 06:00";"0,91";"0,00";"10,00"
"keskiviikko 1.6.2022 07:00";"0,98";"0,00";"10,00"
"keskiviikko 1.6.2022 08:00";"0,88";"0,00";"9,80"
"keskiviikko 1.6.2022 09:00";"0,33";"0,00";"9,90"
"keskiviikko 1.6.2022 10:00";"0,15";"0,00";"10,60"
"keskiviikko 1.6.2022 11:00";"0,19";"0,00";"11,20"
"keskiviikko 1.6.2022 12:00";"0,00";"0,14";"12,40"
"keskiviikko 1.6.2022 13:00";"0,00";"0,55";"14,00"
"keskiviikko 1.6.2022 14:00";"0,00";"2,15";"15,80"
"keskiviikko 1.6.2022 15:00";"0,00";"2,41";"16,80"
"keskiviikko 1.6.2022 16:00";"0,00";"1,38";"20,90"
"keskiviikko 1.6.2022 17:00";"0,00";"0,82";"26,20"
"keskiviikko 1.6.2022 18:00";"0,00";"0,61";"27,10"
"keskiviikko 1.6.2022 19:00";"0,19";"0,00";"23,20"
"keskiviikko 1.6.2022 20:00";"0,93";"0,00";"19,20"
"keskiviikko 1.6.2022 21:00";"0,70";"0,00";"17,50"
"keskiviikko 1.6.2022 22:00";"0,34";"0,00";"16,20"
"keskiviikko 1.6.2022 23:00";"0,33";"0,00";"15,30"
"torstai 2.6.2022 00:00";"0,31";"0,00";"14,60"
"torstai 2.6.2022 01:00";"0,33";"0,00";"14,30"
"torstai 2.6.2022 02:00";"0,32";"0,00";"14,00"
"torstai 2.6.2022 03:00";"0,31";"0,00";"13,70"
"torstai 2.6.2022 04:00";"0,50";"0,00";"13,60"
"torstai 2.6.2022 05:00";"0,66";"0,00";"13,30"
"torstai 2.6.2022 06:00";"0,28";"0,00";"12,50"
"torstai 2.6.2022 07:00";"0,91";"0,00";"12,20"
"torstai 2.6.2022 08:00";"0,52";"0,00";"12,30"
"torstai 2.6.2022 09:00";"0,11";"0,00";"12,80"
"torstai 2.6.2022 10:00";"0,09";"0,00";"12,90"
"torstai 2.6.2022 11:00";"0,04";"0,00";"14,10"
"torstai 2.6.2022 12:00";"0,42";"0,00";"15,30"
"torstai 2.6.2022 13:00";"0,38";"0,00";"14,80"
"torstai 2.6.2022 14:00";"0,00";"0,39";"15,70"
"torstai 2.6.2022 15:00";"0,00";"0,30";"14,20"
"torstai 2.6.2022 16:00";"0,00";"0,45";"13,50"
"torstai 2.6.2022 17:00";"0,00";"0,60";"13,10"
"torstai 2.6.2022 18:00";"0,46";"0,00";"13,60"
"torstai 2.6.2022 19:00";"0,32";"0,00";"13,00"
"torstai 2.6.2022 20:00";"0,66";"0,00";"12,80"
"torstai 2.6.2022 21:00";"0,62";"0,00";"12,20"
"torstai 2.6.2022 22:00";"0,37";"0,00";"12,10"
"torstai 2.6.2022 23:00";"0,34";"0,00";"11,80"
"perjantai 3.6.2022 00:00";"0,33";"0,00";"11,50"
"perjantai 3.6.2022 01:00";"0,32";"0,00";"11,20"
"perjantai 3.6.2022 02:00";"0,33";"0,00";"10,80"
"perjantai 3.6.2022 03:00";"0,45";"0,00";"10,80"
"perjantai 3.6.2022 04:00";"0,73";"0,00";"10,60"
"perjantai 3.6.2022 05:00";"0,27";"0,00";"10,70"
"perjantai 3.6.2022 06:00";"0,27";"0,00";"10,90"
"perjantai 3.6.2022 07:00";"0,45";"0,00";"11,90"
"perjantai 3.6.2022 08:00";"0,00";"0,03";"12,70"
"perjantai 3.6.2022 09:00";"0,00";"1,11";"13,40"
"perjantai 3.6.2022 10:00";"0,00";"1,37";"14,40"
"perjantai 3.6.2022 11:00";"0,00";"1,67";"15,90"
"perjantai 3.6.2022 12:00";"0,00";"2,59";"17,10"
