"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"tiistai 2.8.2022 14:00";"0,00";"2,37";"21,20"
"tiistai 2.8.2022 15:00";"0,00";"2,38";"21,70"
"tiistai 2.8.2022 16:00";"0,00";"1,24";"21,90"
"tiistai 2.8.2022 17:00";"0,00";"0,86";"24,20"
"tiistai 2.8.2022 18:00";"0,00";"0,56";"32,70"
"tiistai 2.8.2022 19:00";"0,53";"0,00";"26,30"
"tiistai 2.8.2022 20:00";"1,10";"0,00";"20,40"
"tiistai 2.8.2022 21:00";"0,36";"0,00";"17,60"
"tiistai 2.8.2022 22:00";"0,26";"0,00";"15,00"
"tiistai 2.8.2022 23:00";"0,21";"0,00";"13,80"
"keskiviikko 3.8.2022 00:00";"0,21";"0,00";"12,80"
"keskiviikko 3.8.2022 01:00";"0,19";"0,00";"12,30"
"keskiviikko 3.8.2022 02:00";"0,20";"0,00";"11,30"
"keskiviikko 3.8.2022 03:00";"0,19";"0,00";"11,10"
"keskiviikko 3.8.2022 04:00";"0,54";"0,00";"11,60"
"keskiviikko 3.8.2022 05:00";"0,18";"0,00";"12,00"
"keskiviikko 3.8.2022 06:00";"0,15";"0,00";"13,10"
"keskiviikko 3.8.2022 07:00";"0,11";"0,00";"14,70"
"keskiviikko 3.8.2022 08:00";"0,11";"0,00";"16,60"
"keskiviikko 3.8.2022 09:00";"0,00";"1,19";"19,10"
"keskiviikko 3.8.2022 10:00";"0,00";"1,68";"19,60"
"keskiviikko 3.8.2022 11:00";"0,00";"2,37";"21,00"
"keskiviikko 3.8.2022 12:00";"0,00";"1,41";"21,90"
"keskiviikko 3.8.2022 13:00";"0,00";"1,12";"22,10"
"keskiviikko 3.8.2022 14:00";"0,00";"0,69";"22,20"
"keskiviikko 3.8.2022 15:00";"0,00";"0,75";"22,70"
"keskiviikko 3.8.2022 16:00";"0,00";"0,80";"23,20"
"keskiviikko 3.8.2022 17:00";"0,00";"0,11";"22,90"
"keskiviikko 3.8.2022 18:00";"0,00";"0,54";"23,00"
"keskiviikko 3.8.2022 19:00";"0,40";"0,00";"21,20"
"keskiviikko 3.8.2022 20:00";"0,48";"0,00";"20,30"
"keskiviikko 3.8.2022 21:00";"0,32";"0,00";"19,80"
"keskiviikko 3.8.2022 22:00";"0,29";"0,00";"19,30"
"keskiviikko 3.8.2022 23:00";"0,43";"0,00";"18,60"
"torstai 4.8.2022 00:00";"0,22";"0,00";"18,40"
"torstai 4.8.2022 01:00";"0,21";"0,00";"18,30"
"torstai 4.8.2022 02:00";"0,20";"0,00";"18,40"
"torstai 4.8.2022 03:00";"0,21";"0,00";"17,80"
"torstai 4.8.2022 04:00";"0,20";"0,00";"17,70"
"torstai 4.8.2022 05:00";"0,21";"0,00";"18,10"
"torstai 4.8.2022 06:00";"0,19";"0,00";"18,80"
"torstai 4.8.2022 07:00";"0,74";"0,00";"18,80"
"torstai 4.8.2022 08:00";"0,42";"0,00";"19,20"
"torstai 4.8.2022 09:00";"0,38";"0,00";"20,30"
"torstai 4.8.2022 10:00";"0,00";"0,36";"21,70"
"torstai 4.8.2022 11:00";"0,00";"0,63";"22,50"
"torstai 4.8.2022 12:00";"0,00";"0,73";"23,70"
"torstai 4.8.2022 13:00";"0,00";"0,38";"24,60"
"torstai 4.8.2022 14:00";"0,00";"1,55";"25,80"
"torstai 4.8.2022 15:00";"0,00";"1,72";"26,00"
"torstai 4.8.2022 16:00";"0,00";"1,31";"26,60"
"torstai 4.8.2022 17:00";"0,00";"0,68";"33,30"
"torstai 4.8.2022 18:00";"0,00";"0,34";"35,50"
"torstai 4.8.2022 19:00";"0,52";"0,00";"31,30"
"torstai 4.8.2022 20:00";"1,18";"0,00";"25,00"
"torstai 4.8.2022 21:00";"0,66";"0,00";"22,70"
"torstai 4.8.2022 22:00";"0,34";"0,00";"21,30"
"torstai 4.8.2022 23:00";"0,20";"0,00";"20,80"
"perjantai 5.8.2022 00:00";"0,19";"0,00";"20,30"
"perjantai 5.8.2022 01:00";"0,18";"0,00";"20,10"
"perjantai 5.8.2022 02:00";"0,18";"0,00";"19,60"
"perjantai 5.8.2022 03:00";"0,17";"0,00";"19,30"
"perjantai 5.8.2022 04:00";"0,18";"0,00";"19,30"
"perjantai 5.8.2022 05:00";"0,18";"0,00";"18,80"
"perjantai 5.8.2022 06:00";"0,09";"0,00";"19,30"
"perjantai 5.8.2022 07:00";"0,05";"0,00";"20,40"
"perjantai 5.8.2022 08:00";"0,06";"0,00";"22,00"
"perjantai 5.8.2022 09:00";"0,00";"0,85";"23,10"
"perjantai 5.8.2022 10:00";"0,00";"1,53";"24,20"
"perjantai 5.8.2022 11:00";"0,00";"0,74";"25,90"
"perjantai 5.8.2022 12:00";"0,00";"0,11";"25,00"
"perjantai 5.8.2022 13:00";"0,06";"0,00";"24,00"
"perjantai 5.8.2022 14:00";"0,00";"0,00";"23,60"
"perjantai 5.8.2022 15:00";"0,00";"0,14";"22,70"
"perjantai 5.8.2022 16:00";"0,26";"0,00";"23,00"
"perjantai 5.8.2022 17:00";"0,02";"0,00";"23,10"
"perjantai 5.8.2022 18:00";"0,60";"0,00";"23,10"
"perjantai 5.8.2022 19:00";"0,31";"0,00";"23,20"
"perjantai 5.8.2022 20:00";"0,69";"0,00";"22,30"
"perjantai 5.8.2022 21:00";"0,36";"0,00";"21,50"
"perjantai 5.8.2022 22:00";"0,29";"0,00";"21,10"
"perjantai 5.8.2022 23:00";"0,26";"0,00";"20,70"
"lauantai 6.8.2022 00:00";"0,23";"0,00";"20,00"
"lauantai 6.8.2022 01:00";"0,21";"0,00";"19,70"
"lauantai 6.8.2022 02:00";"0,25";"0,00";"19,50"
"lauantai 6.8.2022 03:00";"0,22";"0,00";"19,40"
"lauantai 6.8.2022 04:00";"0,21";"0,00";"19,20"
"lauantai 6.8.2022 05:00";"0,24";"0,00";"18,90"
"lauantai 6.8.2022 06:00";"0,24";"0,00";"18,80"
"lauantai 6.8.2022 07:00";"0,25";"0,00";"18,00"
"lauantai 6.8.2022 08:00";"0,33";"0,00";"17,30"
"lauantai 6.8.2022 09:00";"0,72";"0,00";"17,40"
"lauantai 6.8.2022 10:00";"0,00";"0,84";"17,60"
"lauantai 6.8.2022 11:00";"0,05";"0,00";"18,50"
"lauantai 6.8.2022 12:00";"0,00";"1,74";"19,20"
"lauantai 6.8.2022 13:00";"0,00";"1,79";"19,90"
"lauantai 6.8.2022 14:00";"0,00";"2,21";"20,00"
"lauantai 6.8.2022 15:00";"0,00";"1,53";"21,20"
"lauantai 6.8.2022 16:00";"0,00";"1,59";"21,50"
"lauantai 6.8.2022 17:00";"0,00";"0,56";"24,80"
"lauantai 6.8.2022 18:00";"0,00";"0,32";"24,40"
"lauantai 6.8.2022 19:00";"0,60";"0,00";"20,60"
"lauantai 6.8.2022 20:00";"0,67";"0,00";"16,90"
"lauantai 6.8.2022 21:00";"0,58";"0,00";"15,60"
"lauantai 6.8.2022 22:00";"0,47";"0,00";"14,40"
"lauantai 6.8.2022 23:00";"0,22";"0,00";"13,30"
"sunnuntai 7.8.2022 00:00";"0,21";"0,00";"13,00"
"sunnuntai 7.8.2022 01:00";"0,22";"0,00";"12,80"
"sunnuntai 7.8.2022 02:00";"0,20";"0,00";"13,40"
"sunnuntai 7.8.2022 03:00";"0,19";"0,00";"13,10"
"sunnuntai 7.8.2022 04:00";"0,20";"0,00";"13,40"
"sunnuntai 7.8.2022 05:00";"0,21";"0,00";"12,50"
"sunnuntai 7.8.2022 06:00";"0,13";"0,00";"12,70"
"sunnuntai 7.8.2022 07:00";"0,18";"0,00";"14,30"
"sunnuntai 7.8.2022 08:00";"0,00";"0,18";"15,20"
"sunnuntai 7.8.2022 09:00";"0,00";"0,62";"16,30"
"sunnuntai 7.8.2022 10:00";"0,00";"1,53";"17,30"
"sunnuntai 7.8.2022 11:00";"0,00";"1,57";"18,50"
"sunnuntai 7.8.2022 12:00";"0,00";"1,99";"18,70"
"sunnuntai 7.8.2022 13:00";"0,00";"1,91";"19,80"
"sunnuntai 7.8.2022 14:00";"0,00";"1,59";"21,20"
"sunnuntai 7.8.2022 15:00";"0,00";"1,69";"21,80"
"sunnuntai 7.8.2022 16:00";"0,00";"0,18";"22,30"
"sunnuntai 7.8.2022 17:00";"0,00";"0,60";"23,60"
"sunnuntai 7.8.2022 18:00";"0,00";"0,05";"29,60"
"sunnuntai 7.8.2022 19:00";"0,52";"0,00";"26,80"
"sunnuntai 7.8.2022 20:00";"1,11";"0,00";"20,80"
"sunnuntai 7.8.2022 21:00";"0,61";"0,00";"18,00"
"sunnuntai 7.8.2022 22:00";"0,22";"0,00";"16,10"
"sunnuntai 7.8.2022 23:00";"0,22";"0,00";"15,20"
"maanantai 8.8.2022 00:00";"0,21";"0,00";"14,10"
"maanantai 8.8.2022 01:00";"0,34";"0,00";"13,20"
"maanantai 8.8.2022 02:00";"0,37";"0,00";"12,80"
"maanantai 8.8.2022 03:00";"0,18";"0,00";"12,40"
"maanantai 8.8.2022 04:00";"0,21";"0,00";"12,90"
"maanantai 8.8.2022 05:00";"0,21";"0,00";"12,70"
"maanantai 8.8.2022 06:00";"0,12";"0,00";"13,40"
"maanantai 8.8.2022 07:00";"0,20";"0,00";"14,40"
"maanantai 8.8.2022 08:00";"0,00";"0,04";"15,10"
"maanantai 8.8.2022 09:00";"0,00";"1,26";"16,70"
"maanantai 8.8.2022 10:00";"0,00";"0,95";"18,80"
"maanantai 8.8.2022 11:00";"0,00";"0,50";"19,00"
"maanantai 8.8.2022 12:00";"0,00";"0,01";"19,10"
"maanantai 8.8.2022 13:00";"0,00";"1,16";"15,60"
"maanantai 8.8.2022 14:00";"0,00";"2,09";"17,80"
"maanantai 8.8.2022 15:00";"0,00";"2,33";"20,20"
"maanantai 8.8.2022 16:00";"0,52";"0,00";"20,70"
"maanantai 8.8.2022 17:00";"0,00";"0,82";"26,10"
"maanantai 8.8.2022 18:00";"0,00";"0,20";"27,40"
"maanantai 8.8.2022 19:00";"0,26";"0,00";"21,30"
"maanantai 8.8.2022 20:00";"0,31";"0,00";"18,30"
"maanantai 8.8.2022 21:00";"0,56";"0,00";"16,90"
"maanantai 8.8.2022 22:00";"0,27";"0,00";"15,10"
"maanantai 8.8.2022 23:00";"0,22";"0,00";"14,10"
"tiistai 9.8.2022 00:00";"0,26";"0,00";"13,30"
"tiistai 9.8.2022 01:00";"0,21";"0,00";"12,60"
"tiistai 9.8.2022 02:00";"0,21";"0,00";"12,00"
"tiistai 9.8.2022 03:00";"0,20";"0,00";"11,30"
"tiistai 9.8.2022 04:00";"0,20";"0,00";"10,80"
"tiistai 9.8.2022 05:00";"0,20";"0,00";"10,60"
"tiistai 9.8.2022 06:00";"0,14";"0,00";"11,00"
"tiistai 9.8.2022 07:00";"0,13";"0,00";"12,60"
"tiistai 9.8.2022 08:00";"0,29";"0,00";"14,10"
"tiistai 9.8.2022 09:00";"0,00";"0,78";"15,60"
"tiistai 9.8.2022 10:00";"0,00";"1,84";"16,90"
"tiistai 9.8.2022 11:00";"0,00";"2,12";"18,10"
"tiistai 9.8.2022 12:00";"0,00";"2,17";"19,40"
"tiistai 9.8.2022 13:00";"0,00";"2,20";"20,40"
"tiistai 9.8.2022 14:00";"0,00";"1,07";"21,80"
"tiistai 9.8.2022 15:00";"0,00";"1,85";"22,60"
"tiistai 9.8.2022 16:00";"0,00";"0,89";"23,50"
"tiistai 9.8.2022 17:00";"0,00";"1,06";"28,60"
"tiistai 9.8.2022 18:00";"0,00";"0,48";"34,90"
"tiistai 9.8.2022 19:00";"0,85";"0,00";"28,10"
"tiistai 9.8.2022 20:00";"0,39";"0,00";"21,00"
"tiistai 9.8.2022 21:00";"0,33";"0,00";"18,50"
"tiistai 9.8.2022 22:00";"0,24";"0,00";"16,80"
"tiistai 9.8.2022 23:00";"0,23";"0,00";"15,50"
"keskiviikko 10.8.2022 00:00";"1,72";"0,00";"14,40"
"keskiviikko 10.8.2022 01:00";"0,38";"0,00";"13,50"
"keskiviikko 10.8.2022 02:00";"0,21";"0,00";"12,80"
"keskiviikko 10.8.2022 03:00";"0,19";"0,00";"11,80"
"keskiviikko 10.8.2022 04:00";"0,22";"0,00";"11,50"
"keskiviikko 10.8.2022 05:00";"0,19";"0,00";"11,20"
"keskiviikko 10.8.2022 06:00";"0,32";"0,00";"11,80"
"keskiviikko 10.8.2022 07:00";"0,29";"0,00";"15,00"
"keskiviikko 10.8.2022 08:00";"0,30";"0,00";"17,00"
"keskiviikko 10.8.2022 09:00";"0,00";"0,10";"18,50"
"keskiviikko 10.8.2022 10:00";"0,00";"0,72";"19,30"
"keskiviikko 10.8.2022 11:00";"0,00";"0,76";"20,90"
"keskiviikko 10.8.2022 12:00";"0,00";"1,40";"21,70"
"keskiviikko 10.8.2022 13:00";"0,00";"2,18";"21,70"
"keskiviikko 10.8.2022 14:00";"0,00";"1,74";"22,40"
"keskiviikko 10.8.2022 15:00";"0,00";"1,90";"22,60"
"keskiviikko 10.8.2022 16:00";"0,00";"1,07";"23,00"
"keskiviikko 10.8.2022 17:00";"0,00";"0,81";"26,60"
"keskiviikko 10.8.2022 18:00";"0,00";"0,32";"30,60"
"keskiviikko 10.8.2022 19:00";"0,46";"0,00";"24,70"
"keskiviikko 10.8.2022 20:00";"0,80";"0,00";"21,40"
"keskiviikko 10.8.2022 21:00";"0,88";"0,00";"19,70"
"keskiviikko 10.8.2022 22:00";"0,26";"0,00";"18,60"
"keskiviikko 10.8.2022 23:00";"0,22";"0,00";"18,10"
"torstai 11.8.2022 00:00";"0,20";"0,00";"17,60"
"torstai 11.8.2022 01:00";"0,22";"0,00";"17,10"
"torstai 11.8.2022 02:00";"0,19";"0,00";"16,90"
"torstai 11.8.2022 03:00";"0,20";"0,00";"16,80"
"torstai 11.8.2022 04:00";"0,20";"0,00";"17,00"
"torstai 11.8.2022 05:00";"0,39";"0,00";"17,20"
"torstai 11.8.2022 06:00";"0,31";"0,00";"17,70"
"torstai 11.8.2022 07:00";"0,41";"0,00";"18,30"
"torstai 11.8.2022 08:00";"0,00";"0,26";"19,30"
"torstai 11.8.2022 09:00";"0,00";"0,76";"20,40"
"torstai 11.8.2022 10:00";"0,00";"1,05";"21,30"
"torstai 11.8.2022 11:00";"0,00";"1,94";"22,20"
"torstai 11.8.2022 12:00";"0,00";"2,39";"22,60"
"torstai 11.8.2022 13:00";"0,00";"1,73";"23,50"
"torstai 11.8.2022 14:00";"0,00";"1,27";"23,40"
"torstai 11.8.2022 15:00";"0,00";"1,84";"23,90"
"torstai 11.8.2022 16:00";"0,00";"1,28";"25,40"
"torstai 11.8.2022 17:00";"0,00";"0,73";"27,60"
"torstai 11.8.2022 18:00";"0,00";"0,48";"31,20"
"torstai 11.8.2022 19:00";"0,79";"0,00";"26,50"
"torstai 11.8.2022 20:00";"0,70";"0,00";"22,60"
"torstai 11.8.2022 21:00";"0,32";"0,00";"20,70"
"torstai 11.8.2022 22:00";"0,20";"0,00";"19,20"
"torstai 11.8.2022 23:00";"0,20";"0,00";"18,20"
"perjantai 12.8.2022 00:00";"0,17";"0,00";"17,40"
"perjantai 12.8.2022 01:00";"0,18";"0,00";"17,40"
"perjantai 12.8.2022 02:00";"0,18";"0,00";"17,80"
"perjantai 12.8.2022 03:00";"0,55";"0,00";"17,50"
"perjantai 12.8.2022 04:00";"0,22";"0,00";"17,50"
"perjantai 12.8.2022 05:00";"0,20";"0,00";"17,60"
"perjantai 12.8.2022 06:00";"0,15";"0,00";"17,80"
"perjantai 12.8.2022 07:00";"0,56";"0,00";"18,10"
"perjantai 12.8.2022 08:00";"0,00";"0,33";"18,60"
"perjantai 12.8.2022 09:00";"0,00";"1,04";"19,80"
"perjantai 12.8.2022 10:00";"0,00";"1,60";"21,60"
"perjantai 12.8.2022 11:00";"0,00";"2,17";"23,00"
"perjantai 12.8.2022 12:00";"0,00";"1,94";"24,10"
"perjantai 12.8.2022 13:00";"0,00";"1,36";"25,00"
"perjantai 12.8.2022 14:00";"0,00";"1,89";"25,60"
"perjantai 12.8.2022 15:00";"0,00";"2,15";"26,40"
"perjantai 12.8.2022 16:00";"0,00";"1,77";"27,80"
"perjantai 12.8.2022 17:00";"0,00";"1,09";"35,80"
"perjantai 12.8.2022 18:00";"0,41";"0,00";"37,50"
"perjantai 12.8.2022 19:00";"1,24";"0,00";"29,60"
"perjantai 12.8.2022 20:00";"1,19";"0,00";"24,10"
"perjantai 12.8.2022 21:00";"0,59";"0,00";"22,50"
"perjantai 12.8.2022 22:00";"0,26";"0,00";"20,80"
"perjantai 12.8.2022 23:00";"0,24";"0,00";"19,30"
"lauantai 13.8.2022 00:00";"0,23";"0,00";"18,10"
"lauantai 13.8.2022 01:00";"0,22";"0,00";"16,60"
"lauantai 13.8.2022 02:00";"0,23";"0,00";"15,30"
"lauantai 13.8.2022 03:00";"0,22";"0,00";"14,60"
"lauantai 13.8.2022 04:00";"0,22";"0,00";"14,00"
"lauantai 13.8.2022 05:00";"0,54";"0,00";"13,80"
"lauantai 13.8.2022 06:00";"0,21";"0,00";"13,90"
"lauantai 13.8.2022 07:00";"0,12";"0,00";"14,90"
"lauantai 13.8.2022 08:00";"0,37";"0,00";"16,10"
"lauantai 13.8.2022 09:00";"0,00";"0,44";"17,60"
"lauantai 13.8.2022 10:00";"0,00";"1,27";"19,20"
"lauantai 13.8.2022 11:00";"0,00";"1,99";"20,50"
"lauantai 13.8.2022 12:00";"0,00";"2,06";"22,30"
"lauantai 13.8.2022 13:00";"0,00";"2,35";"23,90"
"lauantai 13.8.2022 14:00";"0,00";"1,70";"25,30"
"lauantai 13.8.2022 15:00";"0,00";"1,48";"26,60"
"lauantai 13.8.2022 16:00";"0,00";"1,61";"27,60"
"lauantai 13.8.2022 17:00";"0,00";"0,99";"36,30"
"lauantai 13.8.2022 18:00";"0,29";"0,00";"37,90"
"lauantai 13.8.2022 19:00";"0,70";"0,00";"29,30"
"lauantai 13.8.2022 20:00";"0,48";"0,00";"23,40"
"lauantai 13.8.2022 21:00";"0,31";"0,00";"20,90"
"lauantai 13.8.2022 22:00";"0,22";"0,00";"19,70"
"lauantai 13.8.2022 23:00";"0,18";"0,00";"18,30"
"sunnuntai 14.8.2022 00:00";"0,19";"0,00";"17,30"
"sunnuntai 14.8.2022 01:00";"0,18";"0,00";"16,40"
"sunnuntai 14.8.2022 02:00";"0,18";"0,00";"15,70"
"sunnuntai 14.8.2022 03:00";"0,52";"0,00";"15,30"
"sunnuntai 14.8.2022 04:00";"0,23";"0,00";"14,50"
"sunnuntai 14.8.2022 05:00";"0,19";"0,00";"14,10"
"sunnuntai 14.8.2022 06:00";"0,15";"0,00";"14,70"
"sunnuntai 14.8.2022 07:00";"0,04";"0,00";"16,30"
"sunnuntai 14.8.2022 08:00";"0,13";"0,00";"18,20"
"sunnuntai 14.8.2022 09:00";"0,00";"0,03";"19,90"
"sunnuntai 14.8.2022 10:00";"0,00";"1,27";"21,50"
"sunnuntai 14.8.2022 11:00";"0,00";"1,84";"22,70"
"sunnuntai 14.8.2022 12:00";"0,00";"2,21";"24,10"
"sunnuntai 14.8.2022 13:00";"0,00";"2,25";"25,20"
"sunnuntai 14.8.2022 14:00";"0,00";"1,78";"26,40"
"sunnuntai 14.8.2022 15:00";"0,00";"1,79";"27,30"
"sunnuntai 14.8.2022 16:00";"0,00";"1,36";"28,80"
"sunnuntai 14.8.2022 17:00";"0,00";"0,25";"37,10"
"sunnuntai 14.8.2022 18:00";"0,00";"0,19";"39,20"
"sunnuntai 14.8.2022 19:00";"0,62";"0,00";"30,40"
"sunnuntai 14.8.2022 20:00";"0,94";"0,00";"25,20"
"sunnuntai 14.8.2022 21:00";"0,33";"0,00";"23,20"
"sunnuntai 14.8.2022 22:00";"0,25";"0,00";"21,60"
"sunnuntai 14.8.2022 23:00";"0,22";"0,00";"20,10"
"maanantai 15.8.2022 00:00";"0,18";"0,00";"19,00"
"maanantai 15.8.2022 01:00";"0,18";"0,00";"18,30"
"maanantai 15.8.2022 02:00";"0,18";"0,00";"17,50"
"maanantai 15.8.2022 03:00";"0,17";"0,00";"17,20"
"maanantai 15.8.2022 04:00";"0,18";"0,00";"16,90"
"maanantai 15.8.2022 05:00";"0,17";"0,00";"16,40"
"maanantai 15.8.2022 06:00";"0,43";"0,00";"16,90"
"maanantai 15.8.2022 07:00";"0,41";"0,00";"18,10"
"maanantai 15.8.2022 08:00";"0,00";"0,40";"19,80"
"maanantai 15.8.2022 09:00";"0,00";"0,76";"21,70"
"maanantai 15.8.2022 10:00";"0,00";"1,38";"23,20"
"maanantai 15.8.2022 11:00";"0,00";"1,19";"24,40"
"maanantai 15.8.2022 12:00";"0,00";"2,22";"25,90"
"maanantai 15.8.2022 13:00";"0,00";"2,38";"26,90"
"maanantai 15.8.2022 14:00";"0,04";"0,00";"28,20"
"maanantai 15.8.2022 15:00";"0,00";"0,18";"29,30"
"maanantai 15.8.2022 16:00";"0,00";"1,25";"30,20"
"maanantai 15.8.2022 17:00";"0,28";"0,00";"34,60"
"maanantai 15.8.2022 18:00";"0,33";"0,00";"31,50"
"maanantai 15.8.2022 19:00";"1,33";"0,00";"29,60"
"maanantai 15.8.2022 20:00";"0,38";"0,00";"26,40"
"maanantai 15.8.2022 21:00";"0,45";"0,00";"24,60"
"maanantai 15.8.2022 22:00";"0,29";"0,00";"23,50"
"maanantai 15.8.2022 23:00";"0,26";"0,00";"22,70"
"tiistai 16.8.2022 00:00";"0,24";"0,00";"22,40"
"tiistai 16.8.2022 01:00";"0,21";"0,00";"21,80"
"tiistai 16.8.2022 02:00";"0,22";"0,00";"21,60"
"tiistai 16.8.2022 03:00";"0,21";"0,00";"20,60"
"tiistai 16.8.2022 04:00";"0,24";"0,00";"20,30"
"tiistai 16.8.2022 05:00";"0,32";"0,00";"20,40"
"tiistai 16.8.2022 06:00";"0,23";"0,00";"20,90"
"tiistai 16.8.2022 07:00";"0,57";"0,00";"21,60"
"tiistai 16.8.2022 08:00";"0,14";"0,00";"23,00"
"tiistai 16.8.2022 09:00";"0,00";"0,29";"23,90"
"tiistai 16.8.2022 10:00";"0,00";"0,18";"25,20"
"tiistai 16.8.2022 11:00";"0,00";"1,48";"26,90"
"tiistai 16.8.2022 12:00";"0,00";"1,76";"28,10"
"tiistai 16.8.2022 13:00";"0,00";"0,58";"29,10"
"tiistai 16.8.2022 14:00";"0,00";"1,49";"29,80"
"tiistai 16.8.2022 15:00";"0,00";"1,16";"30,70"
"tiistai 16.8.2022 16:00";"0,00";"1,09";"31,30"
"tiistai 16.8.2022 17:00";"0,00";"0,09";"37,20"
"tiistai 16.8.2022 18:00";"0,00";"0,00";"37,10"
"tiistai 16.8.2022 19:00";"0,76";"0,00";"31,20"
"tiistai 16.8.2022 20:00";"0,73";"0,00";"28,30"
"tiistai 16.8.2022 21:00";"0,57";"0,00";"26,50"
"tiistai 16.8.2022 22:00";"0,30";"0,00";"25,40"
"tiistai 16.8.2022 23:00";"0,29";"0,00";"24,70"
"keskiviikko 17.8.2022 00:00";"0,25";"0,00";"24,10"
"keskiviikko 17.8.2022 01:00";"0,25";"0,00";"23,40"
"keskiviikko 17.8.2022 02:00";"0,23";"0,00";"23,10"
"keskiviikko 17.8.2022 03:00";"0,23";"0,00";"22,50"
"keskiviikko 17.8.2022 04:00";"0,23";"0,00";"21,80"
"keskiviikko 17.8.2022 05:00";"0,22";"0,00";"21,30"
"keskiviikko 17.8.2022 06:00";"0,26";"0,00";"21,30"
"keskiviikko 17.8.2022 07:00";"0,53";"0,00";"21,40"
"keskiviikko 17.8.2022 08:00";"0,06";"0,00";"22,10"
"keskiviikko 17.8.2022 09:00";"0,00";"0,62";"23,60"
"keskiviikko 17.8.2022 10:00";"0,32";"0,00";"24,50"
"keskiviikko 17.8.2022 11:00";"0,00";"0,96";"25,70"
"keskiviikko 17.8.2022 12:00";"0,00";"0,88";"26,70"
"keskiviikko 17.8.2022 13:00";"0,19";"0,00";"25,00"
"keskiviikko 17.8.2022 14:00";"0,44";"0,00";"21,90"
"keskiviikko 17.8.2022 15:00";"0,22";"0,00";"20,80"
"keskiviikko 17.8.2022 16:00";"0,08";"0,00";"21,30"
"keskiviikko 17.8.2022 17:00";"0,12";"0,00";"22,70"
"keskiviikko 17.8.2022 18:00";"0,36";"0,00";"25,80"
"keskiviikko 17.8.2022 19:00";"0,61";"0,00";"24,10"
"keskiviikko 17.8.2022 20:00";"0,38";"0,00";"21,70"
"keskiviikko 17.8.2022 21:00";"0,39";"0,00";"20,70"
"keskiviikko 17.8.2022 22:00";"0,27";"0,00";"19,90"
"keskiviikko 17.8.2022 23:00";"0,22";"0,00";"19,60"
"torstai 18.8.2022 00:00";"0,29";"0,00";"19,40"
"torstai 18.8.2022 01:00";"0,31";"0,00";"19,00"
"torstai 18.8.2022 02:00";"0,32";"0,00";"18,50"
"torstai 18.8.2022 03:00";"0,29";"0,00";"18,40"
"torstai 18.8.2022 04:00";"0,20";"0,00";"17,90"
"torstai 18.8.2022 05:00";"0,21";"0,00";"17,70"
"torstai 18.8.2022 06:00";"0,10";"0,00";"17,80"
