"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"maanantai 1.8.2022 00:00";"0,19";"0,00";"16,40"
"maanantai 1.8.2022 01:00";"0,21";"0,00";"15,20"
"maanantai 1.8.2022 02:00";"0,53";"0,00";"14,00"
"maanantai 1.8.2022 03:00";"0,18";"0,00";"13,50"
"maanantai 1.8.2022 04:00";"0,21";"0,00";"13,20"
"maanantai 1.8.2022 05:00";"0,20";"0,00";"12,90"
"maanantai 1.8.2022 06:00";"0,11";"0,00";"13,80"
"maanantai 1.8.2022 07:00";"0,16";"0,00";"15,50"
"maanantai 1.8.2022 08:00";"0,00";"0,19";"17,00"
"maanantai 1.8.2022 09:00";"0,00";"1,29";"18,60"
"maanantai 1.8.2022 10:00";"0,00";"2,02";"20,00"
"maanantai 1.8.2022 11:00";"0,00";"2,25";"21,30"
"maanantai 1.8.2022 12:00";"0,00";"1,83";"22,70"
"maanantai 1.8.2022 13:00";"0,00";"1,19";"23,20"
"maanantai 1.8.2022 14:00";"0,00";"0,87";"23,80"
"maanantai 1.8.2022 15:00";"0,00";"0,45";"24,50"
"maanantai 1.8.2022 16:00";"0,00";"0,17";"20,90"
"maanantai 1.8.2022 17:00";"0,82";"0,00";"26,20"
"maanantai 1.8.2022 18:00";"0,04";"0,00";"22,20"
"maanantai 1.8.2022 19:00";"0,32";"0,00";"21,60"
"maanantai 1.8.2022 20:00";"0,74";"0,00";"20,00"
"maanantai 1.8.2022 21:00";"0,49";"0,00";"18,80"
"maanantai 1.8.2022 22:00";"0,26";"0,00";"17,50"
"maanantai 1.8.2022 23:00";"0,23";"0,00";"15,70"
"tiistai 2.8.2022 00:00";"0,21";"0,00";"14,90"
"tiistai 2.8.2022 01:00";"0,20";"0,00";"14,20"
"tiistai 2.8.2022 02:00";"0,52";"0,00";"13,60"
"tiistai 2.8.2022 03:00";"0,21";"0,00";"13,10"
"tiistai 2.8.2022 04:00";"0,20";"0,00";"12,80"
"tiistai 2.8.2022 05:00";"0,21";"0,00";"12,40"
"tiistai 2.8.2022 06:00";"0,13";"0,00";"12,80"
"tiistai 2.8.2022 07:00";"0,25";"0,00";"15,20"
"tiistai 2.8.2022 08:00";"0,00";"0,02";"17,40"
"tiistai 2.8.2022 09:00";"0,07";"0,00";"18,60"
"tiistai 2.8.2022 10:00";"0,00";"0,25";"19,90"
"tiistai 2.8.2022 11:00";"0,00";"0,54";"19,50"
"tiistai 2.8.2022 12:00";"0,00";"1,75";"20,70"
"tiistai 2.8.2022 13:00";"0,00";"1,51";"20,90"
