"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"tiistai 1.2.2022 00:00";"5,19";"Ei kulutustietoja tällä ajanjaksolla.";"-10,50"
"tiistai 1.2.2022 01:00";"2,70";"Ei kulutustietoja tällä ajanjaksolla.";"-10,80"
"tiistai 1.2.2022 02:00";"3,49";"Ei kulutustietoja tällä ajanjaksolla.";"-11,20"
"tiistai 1.2.2022 03:00";"5,84";"Ei kulutustietoja tällä ajanjaksolla.";"-11,50"
"tiistai 1.2.2022 04:00";"1,76";"Ei kulutustietoja tällä ajanjaksolla.";"-11,70"
"tiistai 1.2.2022 05:00";"5,71";"Ei kulutustietoja tällä ajanjaksolla.";"-11,70"
"tiistai 1.2.2022 06:00";"4,15";"Ei kulutustietoja tällä ajanjaksolla.";"-12,00"
"tiistai 1.2.2022 07:00";"3,14";"Ei kulutustietoja tällä ajanjaksolla.";"-11,60"
"tiistai 1.2.2022 08:00";"5,75";"Ei kulutustietoja tällä ajanjaksolla.";"-11,60"
"tiistai 1.2.2022 09:00";"2,94";"Ei kulutustietoja tällä ajanjaksolla.";"-11,50"
"tiistai 1.2.2022 10:00";"7,12";"Ei kulutustietoja tällä ajanjaksolla.";"-11,00"
"tiistai 1.2.2022 11:00";"2,19";"Ei kulutustietoja tällä ajanjaksolla.";"-10,10"
"tiistai 1.2.2022 12:00";"4,70";"Ei kulutustietoja tällä ajanjaksolla.";"-9,60"
"tiistai 1.2.2022 13:00";"3,86";"Ei kulutustietoja tällä ajanjaksolla.";"-9,60"
"tiistai 1.2.2022 14:00";"2,11";"Ei kulutustietoja tällä ajanjaksolla.";"-8,90"
"tiistai 1.2.2022 15:00";"4,87";"Ei kulutustietoja tällä ajanjaksolla.";"-9,20"
"tiistai 1.2.2022 16:00";"3,87";"Ei kulutustietoja tällä ajanjaksolla.";"-10,30"
"tiistai 1.2.2022 17:00";"3,33";"Ei kulutustietoja tällä ajanjaksolla.";"-11,90"
"tiistai 1.2.2022 18:00";"4,69";"Ei kulutustietoja tällä ajanjaksolla.";"-12,70"
"tiistai 1.2.2022 19:00";"1,88";"Ei kulutustietoja tällä ajanjaksolla.";"-13,10"
"tiistai 1.2.2022 20:00";"5,99";"Ei kulutustietoja tällä ajanjaksolla.";"-12,30"
"tiistai 1.2.2022 21:00";"3,90";"Ei kulutustietoja tällä ajanjaksolla.";"-11,60"
"tiistai 1.2.2022 22:00";"1,84";"Ei kulutustietoja tällä ajanjaksolla.";"-11,30"
"tiistai 1.2.2022 23:00";"4,95";"Ei kulutustietoja tällä ajanjaksolla.";"-12,00"
"keskiviikko 2.2.2022 00:00";"3,01";"Ei kulutustietoja tällä ajanjaksolla.";"-11,80"
"keskiviikko 2.2.2022 01:00";"2,45";"Ei kulutustietoja tällä ajanjaksolla.";"-11,00"
"keskiviikko 2.2.2022 02:00";"5,17";"Ei kulutustietoja tällä ajanjaksolla.";"-10,60"
"keskiviikko 2.2.2022 03:00";"3,04";"Ei kulutustietoja tällä ajanjaksolla.";"-10,50"
"keskiviikko 2.2.2022 04:00";"1,72";"Ei kulutustietoja tällä ajanjaksolla.";"-10,30"
"keskiviikko 2.2.2022 05:00";"4,37";"Ei kulutustietoja tällä ajanjaksolla.";"-10,00"
"keskiviikko 2.2.2022 06:00";"2,94";"Ei kulutustietoja tällä ajanjaksolla.";"-9,80"
"keskiviikko 2.2.2022 07:00";"1,77";"Ei kulutustietoja tällä ajanjaksolla.";"-9,60"
"keskiviikko 2.2.2022 08:00";"5,63";"Ei kulutustietoja tällä ajanjaksolla.";"-9,30"
"keskiviikko 2.2.2022 09:00";"2,61";"Ei kulutustietoja tällä ajanjaksolla.";"-8,90"
"keskiviikko 2.2.2022 10:00";"2,22";"Ei kulutustietoja tällä ajanjaksolla.";"-8,10"
"keskiviikko 2.2.2022 11:00";"4,31";"Ei kulutustietoja tällä ajanjaksolla.";"-7,60"
"keskiviikko 2.2.2022 12:00";"3,45";"Ei kulutustietoja tällä ajanjaksolla.";"-7,10"
"keskiviikko 2.2.2022 13:00";"1,96";"Ei kulutustietoja tällä ajanjaksolla.";"-6,90"
"keskiviikko 2.2.2022 14:00";"1,84";"Ei kulutustietoja tällä ajanjaksolla.";"-6,90"
"keskiviikko 2.2.2022 15:00";"5,01";"Ei kulutustietoja tällä ajanjaksolla.";"-7,00"
"keskiviikko 2.2.2022 16:00";"2,25";"Ei kulutustietoja tällä ajanjaksolla.";"-7,60"
"keskiviikko 2.2.2022 17:00";"3,88";"Ei kulutustietoja tällä ajanjaksolla.";"-8,50"
"keskiviikko 2.2.2022 18:00";"3,22";"Ei kulutustietoja tällä ajanjaksolla.";"-8,40"
"keskiviikko 2.2.2022 19:00";"4,85";"Ei kulutustietoja tällä ajanjaksolla.";"-8,20"
"keskiviikko 2.2.2022 20:00";"5,85";"Ei kulutustietoja tällä ajanjaksolla.";"-8,30"
"keskiviikko 2.2.2022 21:00";"3,87";"Ei kulutustietoja tällä ajanjaksolla.";"-8,60"
"keskiviikko 2.2.2022 22:00";"2,27";"Ei kulutustietoja tällä ajanjaksolla.";"-8,80"
"keskiviikko 2.2.2022 23:00";"2,65";"Ei kulutustietoja tällä ajanjaksolla.";"-9,20"
"torstai 3.2.2022 00:00";"4,74";"Ei kulutustietoja tällä ajanjaksolla.";"-9,70"
"torstai 3.2.2022 01:00";"2,58";"Ei kulutustietoja tällä ajanjaksolla.";"-11,10"
"torstai 3.2.2022 02:00";"1,80";"Ei kulutustietoja tällä ajanjaksolla.";"-12,10"
"torstai 3.2.2022 03:00";"3,01";"Ei kulutustietoja tällä ajanjaksolla.";"-12,30"
"torstai 3.2.2022 04:00";"5,41";"Ei kulutustietoja tällä ajanjaksolla.";"-12,00"
"torstai 3.2.2022 05:00";"2,15";"Ei kulutustietoja tällä ajanjaksolla.";"-11,60"
"torstai 3.2.2022 06:00";"6,12";"Ei kulutustietoja tällä ajanjaksolla.";"-11,50"
"torstai 3.2.2022 07:00";"2,50";"Ei kulutustietoja tällä ajanjaksolla.";"-11,40"
"torstai 3.2.2022 08:00";"6,13";"Ei kulutustietoja tällä ajanjaksolla.";"-11,30"
"torstai 3.2.2022 09:00";"4,07";"Ei kulutustietoja tällä ajanjaksolla.";"-10,70"
"torstai 3.2.2022 10:00";"2,46";"Ei kulutustietoja tällä ajanjaksolla.";"-10,00"
"torstai 3.2.2022 11:00";"5,46";"Ei kulutustietoja tällä ajanjaksolla.";"-10,30"
"torstai 3.2.2022 12:00";"2,49";"Ei kulutustietoja tällä ajanjaksolla.";"-9,70"
"torstai 3.2.2022 13:00";"1,63";"Ei kulutustietoja tällä ajanjaksolla.";"-8,80"
"torstai 3.2.2022 14:00";"4,26";"Ei kulutustietoja tällä ajanjaksolla.";"-9,40"
"torstai 3.2.2022 15:00";"1,94";"Ei kulutustietoja tällä ajanjaksolla.";"-9,40"
"torstai 3.2.2022 16:00";"4,71";"Ei kulutustietoja tällä ajanjaksolla.";"-10,40"
"torstai 3.2.2022 17:00";"2,52";"Ei kulutustietoja tällä ajanjaksolla.";"-11,60"
"torstai 3.2.2022 18:00";"4,94";"Ei kulutustietoja tällä ajanjaksolla.";"-12,70"
"torstai 3.2.2022 19:00";"2,31";"Ei kulutustietoja tällä ajanjaksolla.";"-13,40"
"torstai 3.2.2022 20:00";"5,82";"Ei kulutustietoja tällä ajanjaksolla.";"-13,70"
"torstai 3.2.2022 21:00";"1,72";"Ei kulutustietoja tällä ajanjaksolla.";"-14,10"
"torstai 3.2.2022 22:00";"4,84";"Ei kulutustietoja tällä ajanjaksolla.";"-14,10"
"torstai 3.2.2022 23:00";"2,39";"Ei kulutustietoja tällä ajanjaksolla.";"-13,90"
"perjantai 4.2.2022 00:00";"6,00";"Ei kulutustietoja tällä ajanjaksolla.";"-12,40"
"perjantai 4.2.2022 01:00";"1,77";"Ei kulutustietoja tällä ajanjaksolla.";"-11,10"
"perjantai 4.2.2022 02:00";"3,27";"Ei kulutustietoja tällä ajanjaksolla.";"-10,20"
"perjantai 4.2.2022 03:00";"3,55";"Ei kulutustietoja tällä ajanjaksolla.";"-9,70"
"perjantai 4.2.2022 04:00";"1,63";"Ei kulutustietoja tällä ajanjaksolla.";"-9,10"
"perjantai 4.2.2022 05:00";"1,50";"Ei kulutustietoja tällä ajanjaksolla.";"-8,10"
"perjantai 4.2.2022 06:00";"2,59";"Ei kulutustietoja tällä ajanjaksolla.";"-7,10"
"perjantai 4.2.2022 07:00";"3,01";"Ei kulutustietoja tällä ajanjaksolla.";"-6,20"
"perjantai 4.2.2022 08:00";"1,72";"Ei kulutustietoja tällä ajanjaksolla.";"-5,10"
"perjantai 4.2.2022 09:00";"3,69";"Ei kulutustietoja tällä ajanjaksolla.";"-4,10"
"perjantai 4.2.2022 10:00";"1,99";"Ei kulutustietoja tällä ajanjaksolla.";"-3,40"
"perjantai 4.2.2022 11:00";"1,75";"Ei kulutustietoja tällä ajanjaksolla.";"-3,00"
"perjantai 4.2.2022 12:00";"2,08";"Ei kulutustietoja tällä ajanjaksolla.";"-2,60"
"perjantai 4.2.2022 13:00";"1,81";"Ei kulutustietoja tällä ajanjaksolla.";"-2,40"
"perjantai 4.2.2022 14:00";"1,60";"Ei kulutustietoja tällä ajanjaksolla.";"-2,40"
"perjantai 4.2.2022 15:00";"1,14";"Ei kulutustietoja tällä ajanjaksolla.";"-2,30"
"perjantai 4.2.2022 16:00";"1,75";"Ei kulutustietoja tällä ajanjaksolla.";"-2,20"
"perjantai 4.2.2022 17:00";"3,17";"Ei kulutustietoja tällä ajanjaksolla.";"-1,90"
"perjantai 4.2.2022 18:00";"2,63";"Ei kulutustietoja tällä ajanjaksolla.";"-1,50"
"perjantai 4.2.2022 19:00";"1,47";"Ei kulutustietoja tällä ajanjaksolla.";"-1,10"
"perjantai 4.2.2022 20:00";"1,43";"Ei kulutustietoja tällä ajanjaksolla.";"-0,70"
"perjantai 4.2.2022 21:00";"1,40";"Ei kulutustietoja tällä ajanjaksolla.";"-0,40"
"perjantai 4.2.2022 22:00";"1,03";"Ei kulutustietoja tällä ajanjaksolla.";"-0,30"
"perjantai 4.2.2022 23:00";"0,95";"Ei kulutustietoja tällä ajanjaksolla.";"-0,10"
"lauantai 5.2.2022 00:00";"1,21";"Ei kulutustietoja tällä ajanjaksolla.";"-0,10"
"lauantai 5.2.2022 01:00";"1,14";"Ei kulutustietoja tällä ajanjaksolla.";"0,00"
"lauantai 5.2.2022 02:00";"1,14";"Ei kulutustietoja tällä ajanjaksolla.";"0,00"
"lauantai 5.2.2022 03:00";"0,99";"Ei kulutustietoja tällä ajanjaksolla.";"-0,10"
"lauantai 5.2.2022 04:00";"1,14";"Ei kulutustietoja tällä ajanjaksolla.";"0,10"
"lauantai 5.2.2022 05:00";"1,12";"Ei kulutustietoja tällä ajanjaksolla.";"0,00"
"lauantai 5.2.2022 06:00";"1,16";"Ei kulutustietoja tällä ajanjaksolla.";"0,00"
"lauantai 5.2.2022 07:00";"1,23";"Ei kulutustietoja tällä ajanjaksolla.";"0,10"
"lauantai 5.2.2022 08:00";"2,68";"Ei kulutustietoja tällä ajanjaksolla.";"0,00"
"lauantai 5.2.2022 09:00";"2,44";"Ei kulutustietoja tällä ajanjaksolla.";"0,10"
"lauantai 5.2.2022 10:00";"1,65";"Ei kulutustietoja tällä ajanjaksolla.";"0,00"
"lauantai 5.2.2022 11:00";"1,39";"Ei kulutustietoja tällä ajanjaksolla.";"0,10"
"lauantai 5.2.2022 12:00";"1,79";"Ei kulutustietoja tällä ajanjaksolla.";"0,30"
"lauantai 5.2.2022 13:00";"1,90";"Ei kulutustietoja tällä ajanjaksolla.";"0,50"
"lauantai 5.2.2022 14:00";"1,54";"Ei kulutustietoja tällä ajanjaksolla.";"0,20"
"lauantai 5.2.2022 15:00";"1,82";"Ei kulutustietoja tällä ajanjaksolla.";"-0,10"
"lauantai 5.2.2022 16:00";"1,84";"Ei kulutustietoja tällä ajanjaksolla.";"-0,20"
"lauantai 5.2.2022 17:00";"1,69";"Ei kulutustietoja tällä ajanjaksolla.";"-0,30"
"lauantai 5.2.2022 18:00";"1,64";"Ei kulutustietoja tällä ajanjaksolla.";"-0,40"
"lauantai 5.2.2022 19:00";"2,54";"Ei kulutustietoja tällä ajanjaksolla.";"-0,60"
"lauantai 5.2.2022 20:00";"1,62";"Ei kulutustietoja tällä ajanjaksolla.";"-1,40"
"lauantai 5.2.2022 21:00";"1,78";"Ei kulutustietoja tällä ajanjaksolla.";"-1,90"
"lauantai 5.2.2022 22:00";"1,29";"Ei kulutustietoja tällä ajanjaksolla.";"-2,50"
"lauantai 5.2.2022 23:00";"1,33";"Ei kulutustietoja tällä ajanjaksolla.";"-3,20"
"sunnuntai 6.2.2022 00:00";"1,42";"Ei kulutustietoja tällä ajanjaksolla.";"-3,50"
"sunnuntai 6.2.2022 01:00";"1,93";"Ei kulutustietoja tällä ajanjaksolla.";"-3,60"
"sunnuntai 6.2.2022 02:00";"4,56";"Ei kulutustietoja tällä ajanjaksolla.";"-3,40"
"sunnuntai 6.2.2022 03:00";"1,69";"Ei kulutustietoja tällä ajanjaksolla.";"-2,90"
