"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"torstai 5.5.2022 13:00";"0,00";"1,55";"11,20"
"torstai 5.5.2022 14:00";"0,00";"2,35";"11,70"
"torstai 5.5.2022 15:00";"0,00";"1,96";"13,20"
"torstai 5.5.2022 16:00";"0,00";"1,56";"14,20"
"torstai 5.5.2022 17:00";"0,00";"0,99";"16,10"
"torstai 5.5.2022 18:00";"0,00";"0,35";"19,50"
"torstai 5.5.2022 19:00";"0,40";"0,00";"15,60"
"torstai 5.5.2022 20:00";"0,51";"0,00";"11,50"
"torstai 5.5.2022 21:00";"0,30";"0,00";"9,10"
"torstai 5.5.2022 22:00";"0,29";"0,00";"7,70"
"torstai 5.5.2022 23:00";"0,76";"0,00";"6,40"
"perjantai 6.5.2022 00:00";"0,79";"0,00";"5,80"
"perjantai 6.5.2022 01:00";"0,64";"0,00";"6,10"
"perjantai 6.5.2022 02:00";"0,76";"0,00";"5,40"
"perjantai 6.5.2022 03:00";"0,76";"0,00";"4,90"
"perjantai 6.5.2022 04:00";"0,79";"0,00";"4,40"
"perjantai 6.5.2022 05:00";"0,76";"0,00";"4,30"
"perjantai 6.5.2022 06:00";"0,75";"0,00";"5,10"
"perjantai 6.5.2022 07:00";"0,73";"0,00";"6,50"
"perjantai 6.5.2022 08:00";"0,00";"0,56";"8,20"
"perjantai 6.5.2022 09:00";"0,00";"0,32";"9,90"
"perjantai 6.5.2022 10:00";"0,00";"1,75";"11,50"
"perjantai 6.5.2022 11:00";"0,00";"0,67";"13,10"
"perjantai 6.5.2022 12:00";"0,00";"2,41";"14,00"
"perjantai 6.5.2022 13:00";"0,00";"1,60";"14,40"
"perjantai 6.5.2022 14:00";"0,00";"2,29";"14,90"
"perjantai 6.5.2022 15:00";"0,00";"1,91";"15,70"
"perjantai 6.5.2022 16:00";"0,00";"0,89";"18,00"
"perjantai 6.5.2022 17:00";"0,00";"0,67";"25,40"
"perjantai 6.5.2022 18:00";"0,00";"0,04";"26,00"
"perjantai 6.5.2022 19:00";"0,41";"0,00";"19,40"
"perjantai 6.5.2022 20:00";"0,91";"0,00";"14,70"
"perjantai 6.5.2022 21:00";"0,80";"0,00";"11,80"
"perjantai 6.5.2022 22:00";"0,55";"0,00";"9,70"
"perjantai 6.5.2022 23:00";"0,75";"0,00";"8,40"
"lauantai 7.5.2022 00:00";"0,65";"0,00";"7,50"
"lauantai 7.5.2022 01:00";"0,65";"0,00";"6,90"
"lauantai 7.5.2022 02:00";"0,65";"0,00";"6,40"
"lauantai 7.5.2022 03:00";"0,65";"0,00";"6,10"
"lauantai 7.5.2022 04:00";"0,64";"0,00";"5,90"
"lauantai 7.5.2022 05:00";"5,10";"0,00";"5,80"
"lauantai 7.5.2022 06:00";"1,94";"0,00";"6,40"
"lauantai 7.5.2022 07:00";"1,38";"0,00";"7,40"
"lauantai 7.5.2022 08:00";"0,93";"0,00";"9,20"
"lauantai 7.5.2022 09:00";"0,74";"0,00";"9,90"
"lauantai 7.5.2022 10:00";"0,00";"0,22";"10,10"
"lauantai 7.5.2022 11:00";"0,00";"0,09";"9,80"
"lauantai 7.5.2022 12:00";"0,00";"0,39";"10,90"
"lauantai 7.5.2022 13:00";"0,00";"0,22";"11,40"
"lauantai 7.5.2022 14:00";"0,00";"0,22";"10,50"
"lauantai 7.5.2022 15:00";"0,00";"0,10";"9,10"
"lauantai 7.5.2022 16:00";"0,00";"0,00";"7,70"
"lauantai 7.5.2022 17:00";"0,00";"0,14";"8,40"
"lauantai 7.5.2022 18:00";"0,22";"0,00";"11,00"
"lauantai 7.5.2022 19:00";"0,92";"0,00";"13,80"
"lauantai 7.5.2022 20:00";"0,92";"0,00";"9,50"
"lauantai 7.5.2022 21:00";"0,56";"0,00";"7,10"
"lauantai 7.5.2022 22:00";"0,55";"0,00";"5,80"
"lauantai 7.5.2022 23:00";"0,41";"0,00";"4,80"
"sunnuntai 8.5.2022 00:00";"3,56";"0,00";"3,90"
"sunnuntai 8.5.2022 01:00";"0,74";"0,00";"3,10"
"sunnuntai 8.5.2022 02:00";"3,12";"0,00";"2,70"
"sunnuntai 8.5.2022 03:00";"1,88";"0,00";"2,20"
"sunnuntai 8.5.2022 04:00";"0,76";"0,00";"1,90"
"sunnuntai 8.5.2022 05:00";"3,03";"0,00";"1,60"
"sunnuntai 8.5.2022 06:00";"1,50";"0,00";"2,70"
"sunnuntai 8.5.2022 07:00";"0,39";"0,00";"4,00"
"sunnuntai 8.5.2022 08:00";"0,02";"0,00";"4,90"
"sunnuntai 8.5.2022 09:00";"0,00";"0,91";"5,80"
"sunnuntai 8.5.2022 10:00";"0,00";"1,82";"6,90"
"sunnuntai 8.5.2022 11:00";"0,00";"1,79";"7,70"
"sunnuntai 8.5.2022 12:00";"0,00";"1,59";"8,60"
"sunnuntai 8.5.2022 13:00";"0,00";"1,41";"8,90"
"sunnuntai 8.5.2022 14:00";"0,00";"0,69";"8,80"
"sunnuntai 8.5.2022 15:00";"0,00";"0,87";"7,80"
"sunnuntai 8.5.2022 16:00";"0,00";"1,82";"9,90"
"sunnuntai 8.5.2022 17:00";"2,50";"0,00";"14,90"
"sunnuntai 8.5.2022 18:00";"3,79";"0,00";"19,50"
"sunnuntai 8.5.2022 19:00";"1,72";"0,00";"15,10"
"sunnuntai 8.5.2022 20:00";"0,92";"0,00";"9,10"
"sunnuntai 8.5.2022 21:00";"0,54";"0,00";"6,20"
"sunnuntai 8.5.2022 22:00";"0,55";"0,00";"4,40"
"sunnuntai 8.5.2022 23:00";"0,54";"0,00";"3,30"
"maanantai 9.5.2022 00:00";"0,51";"0,00";"2,60"
"maanantai 9.5.2022 01:00";"0,58";"0,00";"2,10"
"maanantai 9.5.2022 02:00";"2,43";"0,00";"1,70"
"maanantai 9.5.2022 03:00";"0,96";"0,00";"1,60"
"maanantai 9.5.2022 04:00";"1,27";"0,00";"1,70"
"maanantai 9.5.2022 05:00";"0,63";"0,00";"2,10"
"maanantai 9.5.2022 06:00";"0,49";"0,00";"2,50"
"maanantai 9.5.2022 07:00";"0,45";"0,00";"3,70"
"maanantai 9.5.2022 08:00";"0,10";"0,00";"5,70"
"maanantai 9.5.2022 09:00";"0,67";"0,00";"7,40"
"maanantai 9.5.2022 10:00";"0,30";"0,00";"9,00"
"maanantai 9.5.2022 11:00";"0,00";"0,66";"9,50"
"maanantai 9.5.2022 12:00";"0,00";"0,59";"10,00"
"maanantai 9.5.2022 13:00";"0,00";"1,35";"11,90"
"maanantai 9.5.2022 14:00";"0,00";"1,92";"13,30"
"maanantai 9.5.2022 15:00";"0,00";"0,97";"14,50"
"maanantai 9.5.2022 16:00";"0,00";"1,52";"15,40"
"maanantai 9.5.2022 17:00";"0,00";"0,72";"23,00"
"maanantai 9.5.2022 18:00";"0,00";"0,30";"21,70"
"maanantai 9.5.2022 19:00";"0,30";"0,00";"15,10"
"maanantai 9.5.2022 20:00";"0,53";"0,00";"10,80"
"maanantai 9.5.2022 21:00";"0,65";"0,00";"8,60"
"maanantai 9.5.2022 22:00";"0,56";"0,00";"7,40"
"maanantai 9.5.2022 23:00";"0,41";"0,00";"6,70"
"tiistai 10.5.2022 00:00";"0,73";"0,00";"5,90"
"tiistai 10.5.2022 01:00";"0,89";"0,00";"5,40"
"tiistai 10.5.2022 02:00";"0,99";"0,00";"5,00"
"tiistai 10.5.2022 03:00";"3,14";"0,00";"4,60"
"tiistai 10.5.2022 04:00";"1,67";"0,00";"4,50"
"tiistai 10.5.2022 05:00";"0,59";"0,00";"4,40"
"tiistai 10.5.2022 06:00";"0,55";"0,00";"5,60"
"tiistai 10.5.2022 07:00";"0,34";"0,00";"7,50"
"tiistai 10.5.2022 08:00";"0,13";"0,00";"8,40"
"tiistai 10.5.2022 09:00";"0,00";"0,82";"9,10"
"tiistai 10.5.2022 10:00";"0,00";"1,74";"10,30"
"tiistai 10.5.2022 11:00";"0,00";"1,94";"11,30"
"tiistai 10.5.2022 12:00";"0,00";"1,45";"12,30"
"tiistai 10.5.2022 13:00";"0,00";"2,11";"12,60"
"tiistai 10.5.2022 14:00";"0,00";"1,86";"14,20"
"tiistai 10.5.2022 15:00";"0,00";"0,63";"14,60"
"tiistai 10.5.2022 16:00";"0,00";"1,12";"16,10"
"tiistai 10.5.2022 17:00";"0,00";"0,95";"19,30"
"tiistai 10.5.2022 18:00";"0,00";"0,19";"20,50"
"tiistai 10.5.2022 19:00";"0,26";"0,00";"14,00"
"tiistai 10.5.2022 20:00";"0,39";"0,00";"12,40"
"tiistai 10.5.2022 21:00";"0,46";"0,00";"11,30"
"tiistai 10.5.2022 22:00";"0,85";"0,00";"11,20"
"tiistai 10.5.2022 23:00";"0,51";"0,00";"10,90"
"keskiviikko 11.5.2022 00:00";"0,37";"0,00";"11,10"
"keskiviikko 11.5.2022 01:00";"0,84";"0,00";"9,90"
"keskiviikko 11.5.2022 02:00";"0,87";"0,00";"8,80"
"keskiviikko 11.5.2022 03:00";"2,43";"0,00";"7,90"
"keskiviikko 11.5.2022 04:00";"1,34";"0,00";"7,70"
"keskiviikko 11.5.2022 05:00";"0,37";"0,00";"7,70"
"keskiviikko 11.5.2022 06:00";"0,44";"0,00";"8,20"
"keskiviikko 11.5.2022 07:00";"0,71";"0,00";"8,30"
"keskiviikko 11.5.2022 08:00";"0,00";"0,15";"9,10"
"keskiviikko 11.5.2022 09:00";"0,32";"0,00";"10,10"
"keskiviikko 11.5.2022 10:00";"0,00";"0,16";"10,30"
"keskiviikko 11.5.2022 11:00";"0,00";"0,67";"11,10"
"keskiviikko 11.5.2022 12:00";"0,00";"0,90";"11,80"
"keskiviikko 11.5.2022 13:00";"0,00";"0,97";"12,70"
"keskiviikko 11.5.2022 14:00";"0,00";"0,93";"14,00"
"keskiviikko 11.5.2022 15:00";"0,00";"0,55";"15,10"
"keskiviikko 11.5.2022 16:00";"0,00";"1,10";"16,00"
"keskiviikko 11.5.2022 17:00";"0,00";"1,02";"18,00"
"keskiviikko 11.5.2022 18:00";"0,00";"0,26";"23,70"
"keskiviikko 11.5.2022 19:00";"0,90";"0,00";"19,80"
"keskiviikko 11.5.2022 20:00";"1,12";"0,00";"13,30"
"keskiviikko 11.5.2022 21:00";"0,90";"0,00";"10,60"
"keskiviikko 11.5.2022 22:00";"0,40";"0,00";"9,50"
"keskiviikko 11.5.2022 23:00";"0,36";"0,00";"9,20"
"torstai 12.5.2022 00:00";"1,53";"0,00";"8,90"
"torstai 12.5.2022 01:00";"0,41";"0,00";"8,30"
"torstai 12.5.2022 02:00";"0,57";"0,00";"8,50"
"torstai 12.5.2022 03:00";"0,59";"0,00";"8,40"
"torstai 12.5.2022 04:00";"0,55";"0,00";"8,40"
"torstai 12.5.2022 05:00";"0,60";"0,00";"8,50"
"torstai 12.5.2022 06:00";"0,51";"0,00";"8,70"
"torstai 12.5.2022 07:00";"0,44";"0,00";"8,80"
"torstai 12.5.2022 08:00";"0,72";"0,00";"9,40"
"torstai 12.5.2022 09:00";"0,79";"0,00";"9,80"
"torstai 12.5.2022 10:00";"0,26";"0,00";"10,40"
"torstai 12.5.2022 11:00";"0,08";"0,00";"10,80"
"torstai 12.5.2022 12:00";"0,00";"0,67";"11,30"
"torstai 12.5.2022 13:00";"0,00";"1,35";"12,60"
"torstai 12.5.2022 14:00";"0,00";"1,80";"14,40"
"torstai 12.5.2022 15:00";"0,00";"1,11";"14,70"
"torstai 12.5.2022 16:00";"0,00";"1,45";"16,50"
"torstai 12.5.2022 17:00";"0,00";"0,39";"17,90"
"torstai 12.5.2022 18:00";"0,00";"0,17";"16,40"
"torstai 12.5.2022 19:00";"0,64";"0,00";"14,00"
"torstai 12.5.2022 20:00";"0,44";"0,00";"11,60"
"torstai 12.5.2022 21:00";"0,46";"0,00";"10,80"
"torstai 12.5.2022 22:00";"0,52";"0,00";"10,10"
"torstai 12.5.2022 23:00";"0,65";"0,00";"9,40"
"perjantai 13.5.2022 00:00";"1,20";"0,00";"9,00"
"perjantai 13.5.2022 01:00";"1,28";"0,00";"8,10"
"perjantai 13.5.2022 02:00";"0,43";"0,00";"7,50"
"perjantai 13.5.2022 03:00";"0,65";"0,00";"6,70"
"perjantai 13.5.2022 04:00";"0,81";"0,00";"6,00"
"perjantai 13.5.2022 05:00";"0,78";"0,00";"6,30"
"perjantai 13.5.2022 06:00";"0,42";"0,00";"7,50"
"perjantai 13.5.2022 07:00";"0,14";"0,00";"8,50"
"perjantai 13.5.2022 08:00";"0,10";"0,00";"9,60"
"perjantai 13.5.2022 09:00";"0,00";"0,91";"11,00"
"perjantai 13.5.2022 10:00";"0,00";"1,45";"12,80"
"perjantai 13.5.2022 11:00";"0,00";"1,15";"14,60"
"perjantai 13.5.2022 12:00";"0,00";"1,53";"15,20"
"perjantai 13.5.2022 13:00";"0,00";"1,46";"15,50"
"perjantai 13.5.2022 14:00";"0,00";"2,39";"15,60"
"perjantai 13.5.2022 15:00";"0,00";"1,70";"16,10"
"perjantai 13.5.2022 16:00";"0,00";"1,84";"18,30"
"perjantai 13.5.2022 17:00";"0,00";"1,35";"25,50"
"perjantai 13.5.2022 18:00";"0,00";"0,38";"27,00"
"perjantai 13.5.2022 19:00";"0,16";"0,00";"25,70"
"perjantai 13.5.2022 20:00";"0,75";"0,00";"16,80"
"perjantai 13.5.2022 21:00";"0,48";"0,00";"12,80"
"perjantai 13.5.2022 22:00";"0,45";"0,00";"10,70"
"perjantai 13.5.2022 23:00";"0,39";"0,00";"9,50"
"lauantai 14.5.2022 00:00";"1,90";"0,00";"8,60"
"lauantai 14.5.2022 01:00";"0,42";"0,00";"7,50"
"lauantai 14.5.2022 02:00";"0,47";"0,00";"6,50"
"lauantai 14.5.2022 03:00";"0,62";"0,00";"6,10"
"lauantai 14.5.2022 04:00";"0,62";"0,00";"7,00"
"lauantai 14.5.2022 05:00";"0,60";"0,00";"7,40"
"lauantai 14.5.2022 06:00";"0,30";"0,00";"8,00"
"lauantai 14.5.2022 07:00";"0,44";"0,00";"8,90"
"lauantai 14.5.2022 08:00";"0,24";"0,00";"10,70"
"lauantai 14.5.2022 09:00";"0,00";"0,45";"11,60"
"lauantai 14.5.2022 10:00";"0,00";"0,38";"12,70"
"lauantai 14.5.2022 11:00";"0,00";"0,79";"14,10"
"lauantai 14.5.2022 12:00";"0,00";"1,89";"14,30"
"lauantai 14.5.2022 13:00";"0,00";"2,51";"15,20"
"lauantai 14.5.2022 14:00";"0,00";"1,56";"16,10"
"lauantai 14.5.2022 15:00";"0,00";"0,74";"15,90"
"lauantai 14.5.2022 16:00";"0,00";"1,60";"17,70"
"lauantai 14.5.2022 17:00";"0,00";"0,99";"15,70"
"lauantai 14.5.2022 18:00";"0,00";"0,12";"17,10"
"lauantai 14.5.2022 19:00";"0,14";"0,00";"19,10"
"lauantai 14.5.2022 20:00";"0,64";"0,00";"14,30"
"lauantai 14.5.2022 21:00";"0,39";"0,00";"11,70"
"lauantai 14.5.2022 22:00";"0,44";"0,00";"10,00"
"lauantai 14.5.2022 23:00";"0,36";"0,00";"9,00"
"sunnuntai 15.5.2022 00:00";"0,40";"0,00";"8,20"
"sunnuntai 15.5.2022 01:00";"0,39";"0,00";"7,20"
"sunnuntai 15.5.2022 02:00";"0,39";"0,00";"6,70"
"sunnuntai 15.5.2022 03:00";"0,80";"0,00";"6,20"
"sunnuntai 15.5.2022 04:00";"0,90";"0,00";"5,30"
"sunnuntai 15.5.2022 05:00";"0,85";"0,00";"5,60"
"sunnuntai 15.5.2022 06:00";"0,75";"0,00";"6,90"
"sunnuntai 15.5.2022 07:00";"0,49";"0,00";"7,70"
"sunnuntai 15.5.2022 08:00";"0,16";"0,00";"8,70"
"sunnuntai 15.5.2022 09:00";"0,00";"0,73";"9,60"
"sunnuntai 15.5.2022 10:00";"0,00";"2,08";"10,60"
"sunnuntai 15.5.2022 11:00";"0,00";"2,37";"11,50"
"sunnuntai 15.5.2022 12:00";"0,00";"2,60";"12,20"
"sunnuntai 15.5.2022 13:00";"0,00";"1,55";"12,90"
"sunnuntai 15.5.2022 14:00";"0,00";"2,19";"13,10"
"sunnuntai 15.5.2022 15:00";"0,00";"0,91";"13,10"
"sunnuntai 15.5.2022 16:00";"0,00";"1,43";"16,10"
"sunnuntai 15.5.2022 17:00";"0,00";"0,81";"21,50"
"sunnuntai 15.5.2022 18:00";"0,00";"0,45";"21,00"
"sunnuntai 15.5.2022 19:00";"0,07";"0,00";"20,30"
"sunnuntai 15.5.2022 20:00";"0,68";"0,00";"14,20"
"sunnuntai 15.5.2022 21:00";"0,39";"0,00";"11,30"
"sunnuntai 15.5.2022 22:00";"0,29";"0,00";"9,80"
"sunnuntai 15.5.2022 23:00";"0,23";"0,00";"8,70"
"maanantai 16.5.2022 00:00";"2,04";"0,00";"7,60"
"maanantai 16.5.2022 01:00";"0,68";"0,00";"7,60"
"maanantai 16.5.2022 02:00";"1,11";"0,00";"7,60"
"maanantai 16.5.2022 03:00";"1,28";"0,00";"7,80"
"maanantai 16.5.2022 04:00";"0,69";"0,00";"7,70"
"maanantai 16.5.2022 05:00";"0,68";"0,00";"7,60"
"maanantai 16.5.2022 06:00";"1,09";"0,00";"7,60"
"maanantai 16.5.2022 07:00";"0,69";"0,00";"8,00"
"maanantai 16.5.2022 08:00";"0,27";"0,00";"8,60"
"maanantai 16.5.2022 09:00";"0,00";"1,33";"9,60"
"maanantai 16.5.2022 10:00";"0,00";"1,52";"10,70"
"maanantai 16.5.2022 11:00";"0,00";"2,32";"11,60"
"maanantai 16.5.2022 12:00";"0,00";"2,33";"12,50"
"maanantai 16.5.2022 13:00";"0,00";"1,36";"13,10"
"maanantai 16.5.2022 14:00";"0,00";"1,67";"13,50"
"maanantai 16.5.2022 15:00";"0,00";"0,79";"14,00"
"maanantai 16.5.2022 16:00";"0,00";"1,01";"15,80"
"maanantai 16.5.2022 17:00";"0,00";"1,52";"20,30"
"maanantai 16.5.2022 18:00";"0,00";"0,40";"23,40"
"maanantai 16.5.2022 19:00";"0,45";"0,00";"21,50"
"maanantai 16.5.2022 20:00";"0,37";"0,00";"14,20"
"maanantai 16.5.2022 21:00";"0,55";"0,00";"11,50"
"maanantai 16.5.2022 22:00";"0,32";"0,00";"10,10"
"maanantai 16.5.2022 23:00";"0,74";"0,00";"9,30"
"tiistai 17.5.2022 00:00";"0,24";"0,00";"8,70"
"tiistai 17.5.2022 01:00";"0,48";"0,00";"7,30"
"tiistai 17.5.2022 02:00";"0,73";"0,00";"6,30"
"tiistai 17.5.2022 03:00";"0,71";"0,00";"5,70"
"tiistai 17.5.2022 04:00";"0,72";"0,00";"5,00"
"tiistai 17.5.2022 05:00";"2,04";"0,00";"4,40"
"tiistai 17.5.2022 06:00";"1,14";"0,00";"4,80"
"tiistai 17.5.2022 07:00";"0,89";"0,00";"5,50"
"tiistai 17.5.2022 08:00";"0,07";"0,00";"6,00"
"tiistai 17.5.2022 09:00";"0,00";"1,02";"7,10"
"tiistai 17.5.2022 10:00";"0,00";"0,62";"7,70"
"tiistai 17.5.2022 11:00";"0,00";"0,66";"8,10"
"tiistai 17.5.2022 12:00";"0,00";"0,76";"8,80"
"tiistai 17.5.2022 13:00";"0,45";"0,00";"9,60"
"tiistai 17.5.2022 14:00";"0,00";"1,58";"10,80"
"tiistai 17.5.2022 15:00";"0,00";"1,52";"11,90"
"tiistai 17.5.2022 16:00";"0,00";"1,55";"14,30"
"tiistai 17.5.2022 17:00";"0,00";"1,22";"20,60"
"tiistai 17.5.2022 18:00";"0,00";"0,32";"22,70"
"tiistai 17.5.2022 19:00";"0,94";"0,00";"21,30"
"tiistai 17.5.2022 20:00";"1,08";"0,00";"13,20"
"tiistai 17.5.2022 21:00";"0,56";"0,00";"10,40"
"tiistai 17.5.2022 22:00";"0,37";"0,00";"8,30"
"tiistai 17.5.2022 23:00";"0,46";"0,00";"6,80"
"keskiviikko 18.5.2022 00:00";"0,22";"0,00";"5,30"
"keskiviikko 18.5.2022 01:00";"1,10";"0,00";"4,70"
"keskiviikko 18.5.2022 02:00";"0,70";"0,00";"4,10"
"keskiviikko 18.5.2022 03:00";"4,43";"0,00";"3,40"
"keskiviikko 18.5.2022 04:00";"1,52";"0,00";"3,10"
"keskiviikko 18.5.2022 05:00";"1,30";"0,00";"3,20"
