"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"sunnuntai 1.5.2022 00:00";"0,28";"0,00";"4,10"
"sunnuntai 1.5.2022 01:00";"0,29";"0,00";"4,00"
"sunnuntai 1.5.2022 02:00";"0,95";"0,00";"3,90"
"sunnuntai 1.5.2022 03:00";"0,97";"0,00";"3,70"
"sunnuntai 1.5.2022 04:00";"0,78";"0,00";"3,40"
"sunnuntai 1.5.2022 05:00";"0,79";"0,00";"3,50"
"sunnuntai 1.5.2022 06:00";"0,81";"0,00";"4,10"
"sunnuntai 1.5.2022 07:00";"1,30";"0,00";"5,00"
"sunnuntai 1.5.2022 08:00";"0,35";"0,00";"5,90"
"sunnuntai 1.5.2022 09:00";"0,00";"0,22";"6,50"
"sunnuntai 1.5.2022 10:00";"0,00";"1,60";"8,20"
"sunnuntai 1.5.2022 11:00";"0,00";"0,68";"8,90"
"sunnuntai 1.5.2022 12:00";"0,00";"1,25";"9,50"
"sunnuntai 1.5.2022 13:00";"0,00";"1,24";"10,40"
"sunnuntai 1.5.2022 14:00";"0,00";"0,43";"11,20"
"sunnuntai 1.5.2022 15:00";"0,00";"1,40";"11,60"
"sunnuntai 1.5.2022 16:00";"0,00";"1,87";"12,90"
"sunnuntai 1.5.2022 17:00";"0,00";"0,82";"20,50"
"sunnuntai 1.5.2022 18:00";"0,16";"0,00";"21,50"
"sunnuntai 1.5.2022 19:00";"0,49";"0,00";"13,50"
"sunnuntai 1.5.2022 20:00";"0,33";"0,00";"9,90"
"sunnuntai 1.5.2022 21:00";"0,34";"0,00";"7,20"
"sunnuntai 1.5.2022 22:00";"0,28";"0,00";"5,20"
"sunnuntai 1.5.2022 23:00";"0,30";"0,00";"4,20"
"maanantai 2.5.2022 00:00";"2,20";"0,00";"3,40"
"maanantai 2.5.2022 01:00";"1,03";"0,00";"3,20"
"maanantai 2.5.2022 02:00";"0,40";"0,00";"3,00"
"maanantai 2.5.2022 03:00";"0,86";"0,00";"3,30"
"maanantai 2.5.2022 04:00";"0,56";"0,00";"3,50"
"maanantai 2.5.2022 05:00";"0,48";"0,00";"3,80"
"maanantai 2.5.2022 06:00";"0,46";"0,00";"4,40"
"maanantai 2.5.2022 07:00";"0,42";"0,00";"6,00"
"maanantai 2.5.2022 08:00";"0,27";"0,00";"7,60"
"maanantai 2.5.2022 09:00";"0,00";"0,45";"9,00"
"maanantai 2.5.2022 10:00";"0,00";"0,71";"10,50"
"maanantai 2.5.2022 11:00";"0,00";"1,59";"11,60"
"maanantai 2.5.2022 12:00";"0,00";"1,60";"11,90"
"maanantai 2.5.2022 13:00";"0,00";"2,54";"12,20"
"maanantai 2.5.2022 14:00";"0,00";"2,40";"12,70"
"maanantai 2.5.2022 15:00";"0,00";"0,93";"13,20"
"maanantai 2.5.2022 16:00";"0,00";"1,11";"12,90"
"maanantai 2.5.2022 17:00";"0,00";"0,70";"16,40"
"maanantai 2.5.2022 18:00";"0,00";"0,06";"17,40"
"maanantai 2.5.2022 19:00";"0,32";"0,00";"12,00"
"maanantai 2.5.2022 20:00";"0,51";"0,00";"10,60"
"maanantai 2.5.2022 21:00";"0,53";"0,00";"9,60"
"maanantai 2.5.2022 22:00";"0,36";"0,00";"8,30"
"maanantai 2.5.2022 23:00";"0,23";"0,00";"7,70"
"tiistai 3.5.2022 00:00";"0,68";"0,00";"6,30"
"tiistai 3.5.2022 01:00";"0,68";"0,00";"5,10"
"tiistai 3.5.2022 02:00";"3,36";"0,00";"4,00"
"tiistai 3.5.2022 03:00";"1,34";"0,00";"4,00"
"tiistai 3.5.2022 04:00";"0,54";"0,00";"3,70"
"tiistai 3.5.2022 05:00";"0,76";"0,00";"3,40"
"tiistai 3.5.2022 06:00";"2,20";"0,00";"4,00"
"tiistai 3.5.2022 07:00";"1,09";"0,00";"4,70"
"tiistai 3.5.2022 08:00";"0,41";"0,00";"5,20"
"tiistai 3.5.2022 09:00";"0,00";"0,83";"5,70"
"tiistai 3.5.2022 10:00";"0,00";"0,91";"6,20"
"tiistai 3.5.2022 11:00";"0,00";"1,67";"6,70"
"tiistai 3.5.2022 12:00";"0,00";"1,22";"6,70"
"tiistai 3.5.2022 13:00";"0,00";"1,17";"7,30"
"tiistai 3.5.2022 14:00";"0,00";"1,10";"7,40"
"tiistai 3.5.2022 15:00";"0,00";"1,19";"7,70"
"tiistai 3.5.2022 16:00";"0,00";"0,46";"8,40"
"tiistai 3.5.2022 17:00";"0,00";"0,33";"12,20"
"tiistai 3.5.2022 18:00";"0,44";"0,00";"15,40"
"tiistai 3.5.2022 19:00";"0,91";"0,00";"9,80"
"tiistai 3.5.2022 20:00";"1,25";"0,00";"6,50"
"tiistai 3.5.2022 21:00";"1,13";"0,00";"5,00"
"tiistai 3.5.2022 22:00";"0,50";"0,00";"3,40"
"tiistai 3.5.2022 23:00";"0,52";"0,00";"2,20"
"keskiviikko 4.5.2022 00:00";"0,54";"0,00";"1,80"
"keskiviikko 4.5.2022 01:00";"0,97";"0,00";"1,30"
"keskiviikko 4.5.2022 02:00";"3,28";"0,00";"0,70"
"keskiviikko 4.5.2022 03:00";"2,00";"0,00";"0,40"
"keskiviikko 4.5.2022 04:00";"1,05";"0,00";"0,00"
"keskiviikko 4.5.2022 05:00";"1,30";"0,00";"-0,10"
"keskiviikko 4.5.2022 06:00";"2,15";"0,00";"0,80"
"keskiviikko 4.5.2022 07:00";"2,82";"0,00";"2,30"
"keskiviikko 4.5.2022 08:00";"0,00";"0,17";"3,50"
"keskiviikko 4.5.2022 09:00";"0,00";"0,43";"4,80"
"keskiviikko 4.5.2022 10:00";"0,00";"0,88";"6,40"
"keskiviikko 4.5.2022 11:00";"0,00";"1,58";"7,30"
"keskiviikko 4.5.2022 12:00";"0,00";"2,06";"7,90"
"keskiviikko 4.5.2022 13:00";"0,00";"2,50";"8,60"
"keskiviikko 4.5.2022 14:00";"0,00";"2,14";"9,50"
"keskiviikko 4.5.2022 15:00";"0,00";"1,55";"10,00"
"keskiviikko 4.5.2022 16:00";"0,00";"1,32";"12,20"
"keskiviikko 4.5.2022 17:00";"0,00";"1,40";"20,90"
"keskiviikko 4.5.2022 18:00";"0,00";"0,18";"22,10"
"keskiviikko 4.5.2022 19:00";"0,45";"0,00";"14,30"
"keskiviikko 4.5.2022 20:00";"1,01";"0,00";"9,70"
"keskiviikko 4.5.2022 21:00";"1,07";"0,00";"7,60"
"keskiviikko 4.5.2022 22:00";"0,50";"0,00";"6,50"
"keskiviikko 4.5.2022 23:00";"0,47";"0,00";"5,60"
"torstai 5.5.2022 00:00";"0,67";"0,00";"4,90"
"torstai 5.5.2022 01:00";"0,92";"0,00";"4,40"
"torstai 5.5.2022 02:00";"0,98";"0,00";"4,30"
"torstai 5.5.2022 03:00";"3,75";"0,00";"4,60"
"torstai 5.5.2022 04:00";"1,71";"0,00";"4,60"
"torstai 5.5.2022 05:00";"0,65";"0,00";"4,70"
"torstai 5.5.2022 06:00";"0,66";"0,00";"5,50"
"torstai 5.5.2022 07:00";"0,39";"0,00";"6,30"
"torstai 5.5.2022 08:00";"0,02";"0,00";"7,10"
"torstai 5.5.2022 09:00";"0,03";"0,00";"7,40"
"torstai 5.5.2022 10:00";"0,00";"0,80";"7,10"
"torstai 5.5.2022 11:00";"0,00";"0,23";"8,30"
"torstai 5.5.2022 12:00";"0,00";"1,19";"9,30"
