"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"tiistai 12.4.2022 12:00";"0,00";"1,71";"7,80"
"tiistai 12.4.2022 13:00";"0,00";"0,94";"8,30"
"tiistai 12.4.2022 14:00";"0,00";"1,76";"8,40"
"tiistai 12.4.2022 15:00";"0,00";"1,87";"9,80"
"tiistai 12.4.2022 16:00";"0,00";"1,62";"10,40"
"tiistai 12.4.2022 17:00";"0,00";"0,54";"18,30"
"tiistai 12.4.2022 18:00";"0,38";"0,00";"14,90"
"tiistai 12.4.2022 19:00";"1,04";"0,00";"9,10"
"tiistai 12.4.2022 20:00";"1,21";"0,00";"6,00"
"tiistai 12.4.2022 21:00";"0,95";"0,00";"4,00"
"tiistai 12.4.2022 22:00";"0,46";"0,00";"2,50"
"tiistai 12.4.2022 23:00";"0,50";"0,00";"1,90"
"keskiviikko 13.4.2022 00:00";"1,00";"0,00";"1,10"
"keskiviikko 13.4.2022 01:00";"1,10";"0,00";"0,50"
"keskiviikko 13.4.2022 02:00";"1,17";"0,00";"0,10"
"keskiviikko 13.4.2022 03:00";"5,66";"0,00";"-0,60"
"keskiviikko 13.4.2022 04:00";"3,05";"0,00";"-1,00"
"keskiviikko 13.4.2022 05:00";"1,62";"0,00";"-1,40"
"keskiviikko 13.4.2022 06:00";"2,84";"0,00";"-1,40"
"keskiviikko 13.4.2022 07:00";"2,98";"0,00";"-0,50"
"keskiviikko 13.4.2022 08:00";"0,90";"0,00";"1,40"
"keskiviikko 13.4.2022 09:00";"0,00";"0,40";"2,70"
"keskiviikko 13.4.2022 10:00";"0,00";"1,32";"4,20"
"keskiviikko 13.4.2022 11:00";"0,00";"1,18";"5,60"
"keskiviikko 13.4.2022 12:00";"0,00";"1,92";"6,50"
"keskiviikko 13.4.2022 13:00";"0,00";"1,73";"7,70"
"keskiviikko 13.4.2022 14:00";"0,00";"1,95";"8,50"
"keskiviikko 13.4.2022 15:00";"0,00";"0,88";"9,70"
"keskiviikko 13.4.2022 16:00";"0,00";"0,14";"10,20"
"keskiviikko 13.4.2022 17:00";"0,00";"0,04";"10,80"
"keskiviikko 13.4.2022 18:00";"0,23";"0,00";"7,20"
"keskiviikko 13.4.2022 19:00";"0,75";"0,00";"5,70"
"keskiviikko 13.4.2022 20:00";"1,15";"0,00";"4,70"
"keskiviikko 13.4.2022 21:00";"1,30";"0,00";"3,90"
"keskiviikko 13.4.2022 22:00";"0,76";"0,00";"3,50"
"keskiviikko 13.4.2022 23:00";"0,94";"0,00";"2,80"
"torstai 14.4.2022 00:00";"0,98";"0,00";"2,70"
"torstai 14.4.2022 01:00";"0,98";"0,00";"2,60"
"torstai 14.4.2022 02:00";"0,98";"0,00";"2,50"
"torstai 14.4.2022 03:00";"0,97";"0,00";"2,40"
"torstai 14.4.2022 04:00";"1,00";"0,00";"2,10"
"torstai 14.4.2022 05:00";"1,03";"0,00";"2,00"
"torstai 14.4.2022 06:00";"1,02";"0,00";"2,00"
"torstai 14.4.2022 07:00";"1,36";"0,00";"2,20"
"torstai 14.4.2022 08:00";"0,82";"0,00";"2,90"
"torstai 14.4.2022 09:00";"0,86";"0,00";"3,30"
"torstai 14.4.2022 10:00";"0,70";"0,00";"3,40"
"torstai 14.4.2022 11:00";"1,32";"0,00";"3,60"
"torstai 14.4.2022 12:00";"0,81";"0,00";"3,60"
"torstai 14.4.2022 13:00";"0,87";"0,00";"3,90"
"torstai 14.4.2022 14:00";"0,92";"0,00";"3,80"
"torstai 14.4.2022 15:00";"0,97";"0,00";"3,80"
"torstai 14.4.2022 16:00";"0,89";"0,00";"4,00"
"torstai 14.4.2022 17:00";"0,46";"0,00";"3,70"
"torstai 14.4.2022 18:00";"0,67";"0,00";"3,70"
"torstai 14.4.2022 19:00";"1,01";"0,00";"3,40"
"torstai 14.4.2022 20:00";"1,35";"0,00";"3,10"
"torstai 14.4.2022 21:00";"1,10";"0,00";"2,90"
"torstai 14.4.2022 22:00";"1,02";"0,00";"2,80"
"torstai 14.4.2022 23:00";"1,01";"0,00";"2,00"
"perjantai 15.4.2022 00:00";"4,61";"0,00";"2,20"
"perjantai 15.4.2022 01:00";"2,20";"0,00";"2,50"
"perjantai 15.4.2022 02:00";"1,48";"0,00";"2,30"
"perjantai 15.4.2022 03:00";"0,93";"0,00";"1,60"
"perjantai 15.4.2022 04:00";"1,05";"0,00";"1,00"
"perjantai 15.4.2022 05:00";"1,05";"0,00";"0,60"
"perjantai 15.4.2022 06:00";"1,05";"0,00";"0,20"
"perjantai 15.4.2022 07:00";"0,98";"0,00";"0,50"
"perjantai 15.4.2022 08:00";"0,73";"0,00";"1,30"
"perjantai 15.4.2022 09:00";"1,14";"0,00";"2,20"
"perjantai 15.4.2022 10:00";"0,00";"1,02";"3,40"
"perjantai 15.4.2022 11:00";"0,00";"1,57";"4,80"
"perjantai 15.4.2022 12:00";"0,00";"1,86";"5,70"
"perjantai 15.4.2022 13:00";"0,00";"2,00";"6,90"
"perjantai 15.4.2022 14:00";"0,00";"2,15";"7,50"
"perjantai 15.4.2022 15:00";"0,00";"1,99";"8,10"
"perjantai 15.4.2022 16:00";"0,00";"1,73";"8,90"
"perjantai 15.4.2022 17:00";"0,00";"1,15";"15,10"
"perjantai 15.4.2022 18:00";"0,11";"0,00";"12,30"
"perjantai 15.4.2022 19:00";"1,13";"0,00";"8,10"
"perjantai 15.4.2022 20:00";"1,37";"0,00";"6,40"
"perjantai 15.4.2022 21:00";"1,25";"0,00";"4,00"
"perjantai 15.4.2022 22:00";"1,19";"0,00";"2,80"
"perjantai 15.4.2022 23:00";"1,16";"0,00";"2,70"
"lauantai 16.4.2022 00:00";"0,51";"0,00";"2,40"
"lauantai 16.4.2022 01:00";"1,00";"0,00";"2,10"
"lauantai 16.4.2022 02:00";"1,04";"0,00";"1,40"
"lauantai 16.4.2022 03:00";"1,04";"0,00";"0,90"
"lauantai 16.4.2022 04:00";"1,05";"0,00";"0,10"
"lauantai 16.4.2022 05:00";"1,22";"0,00";"-0,20"
"lauantai 16.4.2022 06:00";"3,01";"0,00";"-0,20"
"lauantai 16.4.2022 07:00";"2,53";"0,00";"0,60"
"lauantai 16.4.2022 08:00";"1,10";"0,00";"1,60"
"lauantai 16.4.2022 09:00";"1,19";"0,00";"3,00"
"lauantai 16.4.2022 10:00";"0,00";"0,92";"4,80"
