Mittauspisteen tunnus;Tuotteen tyyppi;Resoluutio;Yksikkötyyppi;Lukeman tyyppi;Alkuaika;Määrä;Laatu
;;PT15M;kWh;BN01;2023-09-01T17:30:00Z;0,100000;OK
;;PT15M;kWh;BN01;2023-09-01T17:45:00Z;0,070000;OK
;;PT15M;kWh;BN01;2023-09-01T18:00:00Z;0,090000;OK
;;PT15M;kWh;BN01;2023-09-01T18:15:00Z;0,110000;OK
;;PT15M;kWh;BN01;2023-09-01T18:30:00Z;0,100000;OK
;;PT15M;kWh;BN01;2023-09-01T18:45:00Z;0,080000;OK
;;PT15M;kWh;BN01;2023-09-01T19:00:00Z;0,070000;OK
;;PT15M;kWh;BN01;2023-09-01T19:15:00Z;0,070000;OK
;;PT15M;kWh;BN01;2023-09-01T19:30:00Z;0,070000;OK
;;PT15M;kWh;BN01;2023-09-01T19:45:00Z;0,080000;OK
;;PT15M;kWh;BN01;2023-09-01T20:00:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T20:15:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T20:30:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T20:45:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T21:00:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T21:15:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T21:30:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T21:45:00Z;0,070000;OK
;;PT15M;kWh;BN01;2023-09-01T22:00:00Z;0,180000;OK
