Mittauspisteen tunnus;Tuotteen tyyppi;Resoluutio;Yksikkötyyppi;Alkuaika;Määrä;Laatu
0;8,71687E+12;PT1H;kWh;2022-07-28T01:00:00Z;0,22;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T02:00:00Z;0,55;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T03:00:00Z;0,25;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T04:00:00Z;0,96;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T05:00:00Z;0,23;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T06:00:00Z;0,31;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T07:00:00Z;1,62;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T08:00:00Z;0,79;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T09:00:00Z;0,56;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T10:00:00Z;0,18;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T11:00:00Z;0,19;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T12:00:00Z;1,71;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T13:00:00Z;1,1;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T14:00:00Z;0,9;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T15:00:00Z;0,69;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T16:00:00Z;0,3;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T17:00:00Z;0,36;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T18:00:00Z;0,95;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T19:00:00Z;2,07;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T20:00:00Z;1,15;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T21:00:00Z;0,62;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T22:00:00Z;0,62;OK
0;8,71687E+12;PT1H;kWh;2022-07-28T23:00:00Z;0,65;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T00:00:00Z;0,28;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T01:00:00Z;0,59;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T02:00:00Z;0,63;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T03:00:00Z;0,25;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T04:00:00Z;0,62;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T05:00:00Z;0,24;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T06:00:00Z;0,83;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T07:00:00Z;1,83;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T08:00:00Z;0,7;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T09:00:00Z;0,97;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T10:00:00Z;0,73;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T11:00:00Z;0,61;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T12:00:00Z;0,23;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T13:00:00Z;0,33;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T14:00:00Z;0,35;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T15:00:00Z;0,21;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T16:00:00Z;0,24;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T17:00:00Z;0,99;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T18:00:00Z;1,01;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T19:00:00Z;1,71;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T20:00:00Z;0,38;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T21:00:00Z;1,07;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T22:00:00Z;0,3;OK
0;8,71687E+12;PT1H;kWh;2022-07-29T23:00:00Z;0,62;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T00:00:00Z;0,64;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T01:00:00Z;0,26;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T02:00:00Z;0,61;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T03:00:00Z;0,59;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T04:00:00Z;0,22;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T05:00:00Z;0,56;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T06:00:00Z;0,7;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T07:00:00Z;0,21;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T08:00:00Z;1,17;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T09:00:00Z;0,62;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T10:00:00Z;0,8;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T11:00:00Z;0,23;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T12:00:00Z;0,26;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T13:00:00Z;0,9;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T14:00:00Z;0,24;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T15:00:00Z;0,18;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T16:00:00Z;0,56;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T17:00:00Z;0,19;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T18:00:00Z;0,62;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T19:00:00Z;0,25;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T20:00:00Z;0,62;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T21:00:00Z;0,79;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T22:00:00Z;0,55;OK
0;8,71687E+12;PT1H;kWh;2022-07-30T23:00:00Z;0,8;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T00:00:00Z;0,63;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T01:00:00Z;0,63;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T02:00:00Z;0,61;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T03:00:00Z;0,19;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T04:00:00Z;0,57;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T05:00:00Z;0,19;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T06:00:00Z;0,34;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T07:00:00Z;1,08;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T08:00:00Z;0,39;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T09:00:00Z;0,4;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T10:00:00Z;0,85;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T11:00:00Z;0,26;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T12:00:00Z;0,67;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T13:00:00Z;0,95;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T14:00:00Z;0,3;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T15:00:00Z;0,32;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T16:00:00Z;0,49;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T17:00:00Z;1,13;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T18:00:00Z;0,46;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T19:00:00Z;0,94;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T20:00:00Z;0,94;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T21:00:00Z;0,89;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T22:00:00Z;1,21;OK
0;8,71687E+12;PT1H;kWh;2022-07-31T23:00:00Z;0,56;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T00:00:00Z;0,53;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T01:00:00Z;0,6;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T02:00:00Z;0,25;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T03:00:00Z;0,6;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T04:00:00Z;0,33;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T05:00:00Z;0,2;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T06:00:00Z;0,24;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T07:00:00Z;0,19;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T08:00:00Z;0,67;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T09:00:00Z;0,27;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T10:00:00Z;0,26;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T11:00:00Z;0,31;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T12:00:00Z;0,26;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T13:00:00Z;1,34;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T14:00:00Z;1,39;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T15:00:00Z;0,89;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T16:00:00Z;0,22;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T17:00:00Z;0,19;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T18:00:00Z;0,26;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T19:00:00Z;2,75;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T20:00:00Z;0,44;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T21:00:00Z;0,53;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T22:00:00Z;0,8;OK
0;8,71687E+12;PT1H;kWh;2022-08-01T23:00:00Z;0,28;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T00:00:00Z;0,26;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T01:00:00Z;0,53;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T02:00:00Z;0,43;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T03:00:00Z;0,27;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T04:00:00Z;0,21;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T05:00:00Z;0,26;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T06:00:00Z;0,56;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T07:00:00Z;0,35;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T08:00:00Z;0,83;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T09:00:00Z;0,5;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T10:00:00Z;0,35;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T11:00:00Z;0,28;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T12:00:00Z;0,57;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T13:00:00Z;1,73;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T14:00:00Z;0,87;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T15:00:00Z;0,98;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T16:00:00Z;1,19;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T17:00:00Z;0,53;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T18:00:00Z;0,21;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T19:00:00Z;0,35;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T20:00:00Z;0,73;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T21:00:00Z;0,58;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T22:00:00Z;1,08;OK
0;8,71687E+12;PT1H;kWh;2022-08-02T23:00:00Z;0,65;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T00:00:00Z;0,6;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T01:00:00Z;0,44;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T02:00:00Z;0,44;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T03:00:00Z;0,52;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T04:00:00Z;0,65;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T05:00:00Z;0,3;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T06:00:00Z;0,31;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T07:00:00Z;0,32;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T08:00:00Z;1,36;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T09:00:00Z;0,43;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T10:00:00Z;0,76;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T11:00:00Z;0,27;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T12:00:00Z;0,28;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T13:00:00Z;1,2;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T14:00:00Z;1,21;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T15:00:00Z;0,59;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T16:00:00Z;1,23;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T17:00:00Z;0,86;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T18:00:00Z;0,9;OK
